0288065120141101,,288,651
Houston Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:09,HOU 25,5,17,Punt
09:48,1,00:00,HOU 32,3,0,Punt
08:15,1,05:21,HOU 42,11,73,Touchdown
01:01,1,02:27,HOU 20,3,6,Punt
07:29,2,01:29,HOU 25,3,9,Punt
01:36,2,00:48,50,3,6,Punt
12:53,3,05:15,HOU 39,12,61,Touchdown
01:52,3,07:18,HOU 30,16,70,Touchdown
08:38,4,03:11,HOU 38,6,62,Touchdown
02:28,4,02:28,HOU 20,4,32,End of Game
South Florida Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:51,1,02:03,USF 13,4,19,Punt
02:54,1,01:53,USF 33,3,6,Punt
13:34,2,06:05,USF 29,11,46,Missed FG
06:00,2,04:24,USF 20,8,30,Downs
00:48,2,00:48,USF 20,2,3,End of Half
15:00,3,02:07,USF 24,3,-3,Punt
07:38,3,05:46,USF 28,13,57,Field Goal
09:34,4,00:56,USF 18,3,0,Punt
05:27,4,02:59,USF 26,10,54,Interception
