0290058720140906,,290,587
Howard Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:34,1,02:56,RUTG 41,7,41,Touchdown
04:29,1,01:17,HOW 35,3,8,Punt
00:34,1,01:30,HOW 25,3,5,Punt
11:36,2,00:16,HOW 25,2,6,Fumble
10:17,2,01:04,HOW 35,3,-10,Punt
08:33,2,04:24,HOW 41,10,48,Missed FG
02:52,2,02:52,HOW 25,6,35,End of Half
14:53,3,02:22,HOW 26,4,24,Punt
11:12,3,04:53,HOW 30,12,70,Touchdown
03:06,3,01:40,HOW 23,4,0,Downs
00:44,3,03:11,HOW 25,9,75,Touchdown
09:43,4,01:29,HOW 20,5,23,Interception
06:17,4,00:55,HOW 23,2,77,Touchdown
02:45,4,01:14,HOW 9,2,-4,Punt
Rutgers Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:26,RUTG 25,3,7,Punt
10:38,1,06:09,RUTG 25,13,50,Field Goal
03:12,1,02:32,RUTG 15,5,85,Touchdown
14:04,2,02:28,RUTG 23,6,77,Touchdown
11:20,2,01:03,HOW 31,3,31,Touchdown
09:13,2,00:40,RUTG 37,2,22,Fumble
04:09,2,01:17,RUTG 29,3,71,Touchdown
12:31,3,01:19,HOW 37,4,7,Downs
06:13,3,03:07,RUTG 27,5,2,Punt
01:26,3,00:42,HOW 23,2,23,Touchdown
12:24,4,02:41,HOW 38,6,19,Missed FG
08:14,4,01:57,RUTG 35,4,17,Punt
05:21,4,02:36,HOW 38,4,-4,Punt
01:31,4,01:31,HOW 49,2,-5,End of Game
