0294073120140906,,294,731
Idaho State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:50,1,00:33,IDST 37,2,1,Interception
10:02,1,01:19,IDST 28,3,4,Punt
07:28,1,01:02,IDST 13,4,12,Punt
04:46,1,00:54,IDST 32,3,12,Fumble
01:16,1,02:37,IDST 25,11,71,Field Goal
13:14,2,01:52,IDST 8,6,29,Punt
11:22,2,01:23,IDST 46,5,22,Field Goal
07:27,2,01:03,IDST 7,3,4,Punt
02:25,2,01:01,IDST 7,3,4,Punt
01:24,2,01:24,IDST 25,3,4,End of Half
14:55,3,00:26,IDST 12,3,0,Interception
12:37,3,00:28,IDST 16,3,16,Interception
12:09,3,02:53,IDST 25,6,29,Punt
07:47,3,01:20,IDST 39,4,61,Touchdown
04:21,3,02:51,IDST 15,10,60,Missed FG
14:17,4,01:48,IDST 14,5,21,Punt
10:16,4,02:59,IDST 20,5,31,Punt
04:02,4,01:27,IDST 33,3,67,Touchdown
04:02,4,01:27,IDST 33,3,67,Touchdown
Utah State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:10,USU 35,6,28,Missed FG
12:17,1,02:04,IDST 22,4,8,Field Goal
08:43,1,01:15,USU 36,3,9,Punt
06:26,1,01:40,IDST 48,5,13,Interception
03:52,1,02:36,IDST 40,8,33,Field Goal
13:39,2,00:25,USU 35,3,0,Punt
00:00,2,00:00,USU 42,0,-3,Fumble
09:59,2,02:32,USU 25,6,35,Punt
06:24,2,03:51,USU 48,8,52,Touchdown
01:24,2,00:00,IDST 0,0,0,Touchdown
14:29,3,01:46,IDST 17,3,17,Touchdown
12:09,3,00:00,IDST 0,0,0,Touchdown
09:16,3,01:29,USU 11,3,5,Punt
06:19,3,01:58,USU 28,6,30,Punt
01:30,3,02:13,USU 25,6,20,Punt
12:29,4,02:13,USU 28,3,7,Punt
07:17,4,03:14,USU 20,9,80,Touchdown
02:35,4,02:35,USU 25,5,55,End of Game
02:35,4,02:27,USU 25,5,55,
