0295025320141011,,295,253
Idaho Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:00,IDHO 25,13,57,Field Goal
06:22,1,02:07,IDHO 28,5,48,Downs
02:57,1,03:32,IDHO 25,11,75,Touchdown
10:36,2,02:24,IDHO 49,7,19,Downs
05:09,2,01:26,IDHO 3,3,1,Punt
00:05,2,00:05,IDHO 20,1,-1,End of Half
12:26,3,01:11,IDHO 19,3,8,Punt
06:22,3,03:12,IDHO 17,10,83,Touchdown
02:21,3,02:21,GASO 19,7,19,Touchdown
12:57,4,00:09,IDHO 16,1,0,Interception
12:48,4,01:34,IDHO 25,3,-7,Punt
07:18,4,02:52,IDHO 20,8,23,Downs
00:03,4,00:03,IDHO 38,1,41,End of Game
Georgia Southern Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:56,1,03:28,GASO 14,8,86,Touchdown
04:15,1,01:18,GASO 24,4,76,Touchdown
14:17,2,03:40,GASO 10,10,90,Touchdown
08:12,2,03:03,GASO 32,5,32,Punt
03:43,2,03:38,IDHO 30,9,22,Missed FG
15:00,3,02:29,GASO 30,6,70,Touchdown
11:15,3,04:46,GASO 20,11,80,Touchdown
03:03,3,00:42,GASO 17,2,2,Fumble
14:54,4,01:57,GASO 21,4,20,Punt
12:48,4,00:00,IDHO 0,0,0,Touchdown
11:14,4,03:56,GASO 47,6,10,Punt
04:26,4,04:14,IDHO 43,9,43,Touchdown
