0301075620140913,,301,756
Illinois Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:16,1,04:29,ILL 30,11,62,Field Goal
05:34,1,01:23,ILL 25,3,11,Interception
04:11,1,00:41,ILL 35,3,-8,Punt
14:53,2,02:13,ILL 27,3,8,Punt
11:30,2,00:41,ILL 44,2,8,Fumble
10:49,2,02:17,ILL 29,3,-3,Punt
03:25,2,02:08,ILL 20,6,80,Touchdown
15:00,3,00:39,ILL 36,2,31,Fumble
11:26,3,00:31,ILL 5,3,0,Punt
09:04,3,01:30,ILL 34,5,66,Touchdown
05:34,3,01:31,ILL 13,3,4,Fumble
14:54,4,02:33,ILL 25,4,18,Punt
06:21,4,01:50,ILL 25,3,3,Punt
02:30,4,02:30,ILL 41,7,47,End of Game
Washington Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:44,ILL 46,12,46,Touchdown
05:47,1,00:13,WASH 25,1,75,Touchdown
03:30,1,03:37,WASH 25,8,75,Touchdown
12:40,2,01:10,WASH 8,4,-8,Safety
08:32,2,05:07,WASH 12,12,52,Punt
01:17,2,01:17,WASH 8,9,79,End of Half
14:21,3,02:55,WASH 33,7,30,Punt
10:55,3,01:51,ILL 45,6,11,Fumble
07:34,3,02:00,WASH 25,4,24,Punt
04:03,3,04:09,WASH 49,9,42,Field Goal
12:21,4,06:00,WASH 23,11,43,Field Goal
04:31,4,02:01,WASH 23,3,9,Punt
