0305004720140913,,305,47
Indiana State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:45,INST 25,10,51,Field Goal
08:46,1,00:59,INST 25,3,2,Punt
07:00,1,02:32,INST 24,3,7,Punt
03:37,1,02:15,INST 30,4,20,Punt
09:25,2,01:34,INST 35,4,65,Touchdown
03:52,2,01:32,INST 2,3,3,Punt
01:30,2,00:25,INST 4,3,4,Punt
01:05,2,01:01,BALL 49,6,49,Touchdown
13:01,3,02:04,BALL 43,7,23,Field Goal
08:08,3,01:10,INST 15,4,23,Punt
03:02,3,03:43,INST 8,6,17,Punt
12:58,4,03:28,INST 36,7,49,Missed FG
07:05,4,03:15,INST 37,7,63,Touchdown
02:17,4,00:20,INST 15,3,-2,Punt
Ball State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:06,1,02:20,INST 33,6,33,Touchdown
07:47,1,00:47,BALL 33,3,-6,Punt
04:28,1,00:51,BALL 34,3,3,Punt
01:22,1,06:51,BALL 24,14,76,Touchdown
07:51,2,03:59,BALL 25,9,40,Punt
02:20,2,00:50,INST 40,3,4,Punt
00:00,2,00:00,BALL 48,0,1,Fumble
00:04,2,00:00,BALL 27,0,0,
14:54,3,01:53,BALL 9,3,6,Punt
10:57,3,02:43,BALL 25,8,52,Field Goal
06:58,3,03:50,BALL 10,12,83,Field Goal
14:19,4,01:21,BALL 31,3,-6,Punt
09:30,4,02:25,BALL 20,4,11,Punt
03:43,4,01:26,BALL 31,5,11,Punt
01:57,4,01:57,BALL 49,12,49,End of Game
