0306007120140913,,306,71
Indiana Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:39,1,03:30,IND 30,8,27,Punt
06:04,1,01:29,BGSU 42,4,9,Downs
04:28,1,01:05,BGSU 33,3,33,Touchdown
01:35,1,01:39,IND 21,7,79,Touchdown
12:45,2,01:50,IND 2,4,17,Punt
08:48,2,01:57,IND 34,5,15,Punt
04:31,2,02:52,IND 35,8,41,Downs
15:00,3,03:33,IND 25,9,54,Missed FG
08:52,3,00:41,BGSU 42,3,42,Touchdown
07:17,3,00:51,BGSU 29,4,4,Downs
03:47,3,00:56,IND 25,3,75,Touchdown
14:08,4,01:16,IND 39,4,61,Touchdown
10:48,4,01:44,IND 35,5,53,Fumble
05:24,4,03:20,IND 33,9,67,Touchdown
00:09,4,00:09,IND 29,2,12,End of Game
Bowling Green Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:21,BGSU 41,14,50,Field Goal
07:09,1,01:05,BGSU 20,6,22,Downs
04:35,1,00:07,BGSU 33,1,0,Fumble
03:23,1,01:48,BGSU 35,3,2,Punt
14:56,2,02:11,BGSU 24,10,56,Field Goal
10:55,2,02:07,IND 43,8,16,Field Goal
06:51,2,02:20,BGSU 41,7,29,Field Goal
01:39,2,01:39,BGSU 24,5,14,End of Half
11:27,3,02:35,BGSU 22,10,78,Touchdown
08:11,3,00:54,BGSU 9,3,13,Interception
06:26,3,02:39,BGSU 25,10,75,Touchdown
02:51,3,03:43,BGSU 23,11,77,Touchdown
12:52,4,02:04,BGSU 25,8,40,Downs
09:04,4,03:40,BGSU 12,10,88,Touchdown
02:04,4,01:55,BGSU 12,11,88,Touchdown
