0311069820141206,,311,698
Iowa State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:03,ISU 23,3,3,Punt
11:44,1,01:46,ISU 20,5,11,Punt
09:30,1,02:38,ISU 25,6,35,Punt
03:18,1,05:31,ISU 25,13,68,Field Goal
11:10,2,01:20,ISU 11,4,21,Punt
07:57,2,00:59,ISU 22,3,-4,Punt
05:41,2,00:54,ISU 25,3,-5,Fumble
04:47,2,00:09,TCU 39,1,0,Interception
00:47,2,00:47,ISU 20,2,4,End of Half
13:54,3,02:37,ISU 25,6,17,Punt
08:36,3,01:55,ISU 25,6,11,Interception
06:41,3,02:20,ISU 25,7,53,Downs
01:42,3,00:50,ISU 25,3,0,Punt
00:42,3,01:27,ISU 25,3,8,Punt
12:34,4,01:24,ISU 25,3,6,Punt
04:05,4,02:55,ISU 7,6,18,Downs
TCU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:57,1,02:13,TCU 30,6,12,Punt
09:58,1,00:28,TCU 30,2,70,Touchdown
06:52,1,03:34,TCU 14,12,86,Touchdown
12:47,2,01:37,TCU 25,4,24,Punt
09:50,2,01:53,TCU 10,6,68,Field Goal
06:58,2,01:17,TCU 37,3,-9,Punt
04:38,2,03:51,TCU 9,9,72,Interception
15:00,3,01:06,TCU 25,4,75,Touchdown
11:17,3,02:41,TCU 41,9,53,Field Goal
04:21,3,02:39,TCU 22,8,78,Touchdown
00:52,3,00:10,ISU 45,1,45,Touchdown
14:15,4,01:41,TCU 23,4,77,Touchdown
11:10,4,07:05,TCU 30,15,63,Downs
01:10,4,01:10,ISU 25,2,-4,End of Game
