0312039220141018,,312,392
Iowa Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:55,1,02:10,MD 32,5,32,Touchdown
09:47,1,03:18,IOWA 20,7,80,Touchdown
03:40,1,02:07,IOWA 47,3,5,Punt
14:15,2,00:45,IOWA 34,2,19,Fumble
10:46,2,01:53,IOWA 25,3,-11,Punt
06:47,2,03:17,IOWA 25,9,31,Punt
00:17,2,00:17,IOWA 38,3,4,End of Half
15:00,3,01:58,IOWA 35,5,28,Punt
11:46,3,01:05,IOWA 43,3,2,Punt
07:56,3,01:42,IOWA 37,3,1,Punt
04:18,3,02:32,IOWA 49,6,51,Touchdown
00:44,3,00:58,IOWA 48,3,8,Punt
13:09,4,00:40,IOWA 38,3,4,Interception
12:29,4,01:16,IOWA 25,3,1,Punt
09:37,4,01:00,IOWA 15,3,5,Punt
04:58,4,02:00,IOWA 25,11,75,Touchdown
02:58,4,01:39,50,10,44,Field Goal
00:59,4,00:54,IOWA 20,6,24,Downs
Maryland Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:05,MD 25,1,0,Interception
12:45,1,02:58,MD 25,7,28,Punt
06:29,1,02:49,MD 25,7,75,Touchdown
01:33,1,02:18,MD 15,5,17,Punt
13:30,2,02:44,MD 32,7,45,Field Goal
08:53,2,02:06,IOWA 44,6,44,Touchdown
03:30,2,03:13,MD 14,11,52,Interception
13:02,3,01:16,MD 9,3,7,Punt
10:41,3,00:20,MD 5,3,0,Fumble
10:21,3,02:25,MD 35,3,9,Punt
06:14,3,01:56,MD 8,5,92,Touchdown
01:46,3,01:02,MD 21,3,-4,Punt
14:46,4,01:37,MD 20,3,3,Punt
11:13,4,01:36,MD 38,3,3,Punt
08:37,4,03:39,MD 46,9,54,Touchdown
01:19,4,00:20,IOWA 42,3,4,Punt
00:05,4,00:05,IOWA 44,1,-1,End of Game
