0315041620140829,,315,416
Jacksonville State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:18,JVST 12,4,37,PUNT
11:57,1,00:52,JVST 25,3,-1,PUNT
10:23,1,01:02,JVST 25,3,23,INTERCEPTION
06:35,1,01:17,JVST 24,3,2,PUNT
03:28,1,01:25,JVST 15,5,17,INTERCEPTION
12:38,2,03:25,JVST 20,6,20,PUNT
04:54,2,01:46,JVST 10,3,-9,PUNT
13:26,3,01:49,JVST 46,9,54,Touchdown
08:52,3,01:16,JVST 27,4,15,PUNT
02:11,3,02:11,JVST 33,9,36,DOWNS
12:51,4,01:18,JVST 17,3,-3,PUNT
09:49,4,03:50,JVST 12,10,43,INTERCEPTION
Michigan State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:42,1,01:45,MSU 20,4,80,Touchdown
11:05,1,00:42,MSU 27,2,73,Touchdown
09:21,1,02:46,50,6,26,Missed FG
05:18,1,01:43,MSU 44,4,56,Touchdown
02:03,1,04:20,MSU 30,8,70,Touchdown
09:13,2,04:12,MSU 10,10,90,Touchdown
03:08,2,03:08,JVST 34,7,16,FIELD GOAL
15:00,3,01:34,MSU 25,3,3,PUNT
11:37,3,02:45,MSU 25,6,15,PUNT
07:36,3,05:18,MSU 19,9,81,Touchdown
15:00,4,02:09,MSU 31,3,7,PUNT
11:33,4,01:44,MSU 43,5,18,PUNT
05:59,4,05:59,MSU 16,9,46,END OF HALF
