0317039220140830,,317,392
James Madison Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:00,JMU 35,0,0,Kickoff
15:00,1,01:30,JMU 25,3,9,Punt
11:43,1,01:13,JMU 25,3,-1,Punt
08:40,1,02:26,JMU 18,7,23,Punt
05:36,1,01:11,JMU 35,5,14,Punt
01:57,1,01:39,JMU 25,6,17,Punt
14:11,2,01:12,JMU 18,5,27,Punt
06:46,2,01:14,JMU 25,3,7,Punt
04:01,2,04:00,JMU 18,13,58,Interception
12:20,3,01:42,JMU 25,3,9,Punt
09:29,3,01:26,JMU 17,6,20,Interception
07:55,3,01:00,JMU 25,3,-15,Punt
05:36,3,02:19,JMU 4,5,26,Punt
00:10,3,02:02,JMU 25,7,43,Downs
12:29,4,01:33,MD 27,7,27,Touchdown
03:55,4,00:23,JMU 17,2,25,Fumble
01:06,4,01:06,JMU 17,3,11,End of Game
Maryland Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:30,1,01:47,MD 42,6,58,Touchdown
10:30,1,01:42,JMU 46,5,46,Touchdown
06:14,1,00:38,MD 20,3,7,Punt
04:25,1,02:28,MD 19,10,50,Field Goal
00:18,1,01:07,MD 27,3,6,Punt
12:59,2,06:13,MD 20,15,80,Touchdown
05:32,2,01:31,MD 49,3,2,Punt
00:01,2,00:01,MD 20,1,-2,End of Half
14:50,3,02:30,JMU 41,6,41,Touchdown
10:38,3,01:09,MD 31,4,22,Punt
08:03,3,00:08,JMU 41,1,41,Touchdown
06:55,3,01:19,JMU 42,3,5,Punt
03:17,3,03:07,MD 34,7,66,Touchdown
13:08,4,00:39,MD 32,2,2,Interception
10:50,4,06:49,MD 18,14,82,Touchdown
03:32,4,02:26,JMU 42,3,0,Punt
