0327076820141120,,327,768
Kansas State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:01,1,04:04,WVU 49,8,49,Touchdown
04:56,1,02:11,KSU 4,3,9,Punt
01:38,1,03:45,KSU 16,8,65,Field Goal
06:47,2,04:29,KSU 23,7,32,Punt
00:13,2,00:13,WVU 24,3,7,End of Half
15:00,3,01:49,KSU 19,3,6,Punt
12:03,3,02:34,KSU 12,7,61,Field Goal
06:24,3,01:06,KSU 21,4,21,Fumble
05:18,3,03:05,WVU 16,6,14,Field Goal
12:19,4,02:53,KSU 26,7,69,Missed FG
07:23,4,04:31,KSU 35,9,49,Field Goal
00:53,4,00:53,WVU 43,4,-11,Interception
West Virginia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:59,WVU 9,6,19,Punt
08:57,1,04:01,WVU 27,11,69,Fumble
02:45,1,01:07,WVU 42,3,2,Punt
12:53,2,04:43,WVU 26,12,44,Fumble
08:10,2,01:23,KSU 22,4,-1,Missed FG
02:18,2,01:06,WVU 20,3,-12,Punt
01:12,2,00:59,WVU 19,5,26,Interception
13:11,3,01:08,WVU 40,4,33,Interception
09:29,3,03:05,WVU 21,8,79,Touchdown
02:13,3,04:54,WVU 13,15,61,Downs
09:26,4,02:03,WVU 20,6,80,Touchdown
02:52,4,01:59,WVU 46,11,46,Field Goal
00:00,4,00:00,WVU 40,0,0,
