0328070020141018,,328,700
Kansas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:53,1,00:00,KU 25,8,0,Missed FG
09:26,1,00:10,KU 41,0,0,Punt
07:48,1,01:54,TTU 43,4,9,Downs
02:39,1,02:11,KU 25,6,55,Missed FG
13:34,2,03:37,KU 14,8,25,Fumble
06:57,2,01:34,KU 25,3,7,Punt
02:52,2,02:21,TTU 39,7,39,Touchdown
15:00,3,01:56,KU 18,3,4,Punt
11:11,3,00:26,KU 25,2,4,Interception
09:17,3,00:43,TTU 27,2,27,Touchdown
05:10,3,01:20,KU 25,3,-4,Punt
02:39,3,02:36,KU 19,7,81,Touchdown
13:21,4,03:29,KU 29,8,38,Fumble
08:12,4,02:29,KU 23,5,9,Punt
02:05,4,01:21,KU 1,7,28,Downs
Texas Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:07,TTU 25,6,58,Field Goal
09:16,1,01:28,TTU 8,3,6,Punt
05:54,1,03:15,TTU 34,12,66,Touchdown
00:28,1,01:54,TTU 20,5,38,Punt
09:57,2,03:00,TTU 10,9,90,Touchdown
05:23,2,02:31,TTU 15,6,54,Interception
00:31,2,00:31,TTU 29,1,0,End of Half
13:04,3,01:53,KU 44,7,23,Field Goal
10:45,3,01:28,TTU 30,5,-3,Fumble
08:34,3,03:24,TTU 37,9,63,Touchdown
03:50,3,01:11,TTU 36,3,6,Punt
00:03,3,01:42,TTU 28,6,72,Touchdown
09:52,4,01:40,TTU 33,3,-1,Punt
05:43,4,03:38,TTU 8,7,33,Punt
00:44,4,00:44,KU 29,1,-1,End of Game
