0331041420141025,,331,414
Kent State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
09:40,1,01:40,KENT 33,3,6,Punt
04:04,1,01:00,KENT 29,3,0,Punt
01:27,1,01:45,KENT 36,5,16,Punt
14:04,2,01:36,KENT 45,4,16,Punt
08:26,2,06:50,KENT 19,13,70,Field Goal
00:36,2,00:36,KENT 24,2,0,End of Half
15:00,3,04:21,KENT 25,9,49,Interception
05:12,3,02:37,KENT 24,7,45,Downs
00:33,3,01:20,KENT 31,3,-2,Punt
13:19,4,05:09,KENT 26,11,61,Missed FG
04:58,4,02:38,KENT 45,9,34,Downs
Miami (OH) Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,05:20,M-OH 29,11,38,Downs
08:00,1,03:48,M-OH 12,9,88,Touchdown
03:04,1,01:37,M-OH 15,3,1,Punt
14:42,2,00:38,M-OH 20,3,0,Punt
12:28,2,04:02,M-OH 6,8,33,Punt
01:36,2,01:00,M-OH 25,3,6,Punt
10:39,3,05:27,M-OH 5,10,34,Punt
02:35,3,01:55,M-OH 31,5,46,Field Goal
14:13,4,00:54,M-OH 26,3,3,Punt
08:10,4,03:12,M-OH 20,3,-4,Punt
02:20,4,02:20,M-OH 21,4,15,End of Game
