0334069420141115,,334,694
Kentucky Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:22,UK 8,12,77,Field Goal
09:11,1,01:07,UK 25,3,6,Punt
06:14,1,01:07,UK 7,4,14,Interception
05:07,1,01:46,UK 29,3,1,Punt
13:21,2,01:03,UK 25,3,3,Punt
08:31,2,01:45,UK 25,3,-10,Punt
04:09,2,02:42,UK 24,8,76,Touchdown
00:14,2,00:14,UK 40,2,23,End of Half
14:44,3,03:04,UK 22,10,65,Field Goal
07:40,3,01:19,UK 31,3,0,Punt
03:17,3,01:29,UK 25,3,-1,Interception
00:20,3,01:22,UK 34,3,-9,Punt
11:25,4,00:55,UK 10,3,0,Punt
08:44,4,02:39,UK 20,3,4,Punt
01:04,4,01:04,UK 20,3,23,End of Game
Tennessee Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:38,1,01:27,TENN 27,5,73,Touchdown
08:04,1,01:50,TENN 36,5,21,Punt
03:21,1,05:00,TENN 34,14,66,Touchdown
12:18,2,03:47,TENN 40,10,39,Field Goal
06:46,2,02:37,50,7,50,Touchdown
01:27,2,01:13,TENN 30,7,66,Field Goal
15:00,3,00:16,TENN 48,1,52,Touchdown
11:40,3,04:00,TENN 28,10,42,Missed FG
06:21,3,03:04,TENN 33,8,45,Field Goal
01:48,3,01:28,UK 19,4,19,Touchdown
13:58,4,02:33,TENN 26,4,19,Punt
10:30,4,01:46,UK 46,3,6,Punt
06:05,4,05:01,TENN 29,6,18,Punt
