0346069720140906,,346,697
Lamar Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:44,LAM 25,4,19,Punt
13:18,1,05:18,LAM 25,14,72,Field Goal
05:55,1,02:34,LAM 14,5,15,Fumble
03:21,1,00:07,TAMU 31,1,0,Interception
02:15,1,01:34,LAM 25,3,3,Punt
14:41,2,02:03,LAM 25,3,7,Punt
11:10,2,02:48,LAM 26,7,0,Punt
07:48,2,02:56,LAM 18,6,9,Punt
02:37,2,02:37,LAM 34,10,42,Downs
13:16,3,02:03,LAM 25,6,10,Punt
07:13,3,05:17,LAM 11,12,42,Downs
12:51,4,01:46,LAM 25,3,3,Punt
08:33,4,01:14,LAM 25,3,3,Punt
05:30,4,01:50,LAM 25,3,-1,Punt
01:26,4,01:26,LAM 25,2,9,End of Game
Texas A&M Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:16,1,00:58,TAMU 20,3,80,Touchdown
08:00,1,02:05,TAMU 37,7,63,Touchdown
03:14,1,00:59,TAMU 27,4,73,Touchdown
00:41,1,01:00,LAM 4,4,2,Field Goal
12:38,2,01:28,TAMU 31,6,43,Fumble
08:22,2,00:34,TAMU 48,3,52,Touchdown
04:52,2,02:15,TAMU 21,8,45,Interception
00:00,2,00:00,TAMU 24,0,0,
15:00,3,01:44,LAM 25,4,25,Touchdown
11:13,3,02:38,TAMU 20,7,40,Fumble
08:35,3,01:22,LAM 15,6,15,Touchdown
01:56,3,04:05,TAMU 47,13,53,Touchdown
11:05,4,02:32,LAM 39,6,39,Touchdown
07:19,4,01:49,LAM 39,4,39,Touchdown
03:40,4,02:14,TAMU 44,4,56,Touchdown
