0355045720140830,,355,457
Liberty Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:24,LIB 25,3,5,Punt
11:25,1,02:23,LIB 25,6,68,Fumble
08:55,1,04:11,50,8,50,Touchdown
03:22,1,01:31,LIB 25,4,13,Punt
14:48,2,03:22,LIB 17,6,20,Punt
08:00,2,01:26,LIB 27,6,22,Punt
05:03,2,03:26,LIB 27,8,73,Touchdown
00:28,2,00:28,LIB 25,1,-1,End of Half
13:19,3,01:32,LIB 8,3,9,Punt
11:40,3,01:42,LIB 20,3,8,Punt
09:25,3,00:00,UNC 27,0,0,Touchdown
07:43,3,01:25,LIB 11,3,2,Punt
05:51,3,00:09,LIB 12,1,0,Interception
05:42,3,00:06,LIB 25,1,11,Fumble
03:47,3,00:49,LIB 25,2,18,Fumble
02:06,3,01:30,LIB 25,3,5,Punt
14:10,4,01:50,LIB 34,3,-1,Punt
11:29,4,01:13,UNC 15,3,15,Touchdown
08:33,4,00:06,LIB 20,1,0,Interception
05:48,4,01:55,LIB 31,5,18,Fumble
01:16,4,01:16,LIB 25,4,21,END OF HALF
North Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:36,1,02:11,UNC 39,8,61,Touchdown
09:02,1,00:07,UNC 7,1,0,Interception
04:44,1,01:22,UNC 43,6,57,Touchdown
01:51,1,02:03,UNC 30,6,15,Punt
11:26,2,03:26,UNC 25,11,49,Missed FG
06:34,2,01:25,UNC 15,6,-15,Safety
01:32,2,01:04,UNC 34,7,66,Touchdown
14:54,3,01:35,UNC 27,5,14,Punt
11:47,3,00:07,LIB 25,1,0,Interception
09:58,3,00:33,UNC 19,2,8,Fumble
09:17,3,01:34,UNC 30,4,16,Punt
06:18,3,00:23,LIB 40,2,40,Touchdown
05:42,3,00:00,LIB 0,0,0,Touchdown
05:36,3,01:49,LIB 36,6,36,Touchdown
02:58,3,00:52,LIB 23,4,23,Touchdown
00:36,3,01:26,UNC 30,3,1,Punt
12:20,4,00:51,UNC 21,2,1,Interception
10:14,4,01:41,UNC 35,5,8,Punt
08:27,4,02:39,UNC 38,6,8,Punt
03:53,4,02:37,LIB 49,9,49,Touchdown
