0365003720141004,,365,37
LSU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:37,LSU 25,3,5,Punt
10:16,1,01:26,LSU 25,3,9,Punt
07:05,1,02:12,LSU 20,3,2,Punt
03:38,1,02:14,LSU 25,5,75,Touchdown
14:27,2,01:37,LSU 25,3,6,Punt
09:56,2,02:16,LSU 18,3,8,Punt
05:43,2,01:18,LSU 20,5,20,Punt
02:12,2,02:12,LSU 25,7,50,End of Half
12:41,3,01:56,LSU 22,3,1,Punt
07:33,3,01:16,LSU 24,3,-3,Punt
05:28,3,01:44,AUB 35,4,9,Downs
02:09,3,03:02,LSU 14,8,62,Downs
08:44,4,04:39,LSU 13,9,76,Downs
Auburn Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:23,1,03:07,AUB 22,8,49,Field Goal
08:50,1,01:45,AUB 33,5,67,Touchdown
04:53,1,01:15,AUB 40,5,60,Touchdown
01:24,1,01:57,AUB 28,7,72,Touchdown
12:50,2,02:54,AUB 21,7,32,Punt
07:40,2,01:57,AUB 41,3,4,Punt
04:25,2,02:13,AUB 19,7,81,Touchdown
15:00,3,02:19,AUB 25,6,13,Punt
10:45,3,03:12,AUB 46,7,29,Field Goal
06:17,3,00:49,AUB 33,2,2,Fumble
03:44,3,01:35,AUB 26,4,23,Punt
14:07,4,05:23,AUB 24,9,76,Touchdown
04:05,4,04:05,AUB 11,6,44,End of Game
