0366066420141025,,366,664
Louisiana Tech Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:42,1,01:18,LT 15,3,4,Punt
09:00,1,02:36,LT 11,6,7,Punt
04:31,1,04:41,LT 25,13,69,Field Goal
11:38,2,02:06,LT 21,5,25,Punt
07:57,2,01:26,LT 34,3,5,Punt
02:07,2,01:34,LT 11,9,61,Fumble
15:00,3,00:46,LT 25,2,75,Touchdown
13:11,3,00:56,LT 36,3,2,Punt
07:08,3,06:13,LT 25,14,75,Touchdown
09:31,4,02:30,LT 21,5,79,Touchdown
06:24,4,02:18,USM 37,5,37,Touchdown
02:53,4,00:57,USM 24,3,24,Fumble
01:15,4,01:15,LT 18,2,-2,End of Game
Southern Mississippi Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:18,USM 25,6,33,Punt
10:24,1,01:24,LT 41,4,41,Touchdown
06:24,1,01:53,USM 28,3,5,Punt
14:50,2,03:12,USM 13,6,24,Punt
09:32,2,01:35,USM 11,3,6,Punt
06:31,2,04:24,USM 30,10,32,Punt
00:33,2,00:33,USM 31,3,-21,End of Half
14:14,3,01:03,USM 46,3,0,Interception
12:15,3,05:07,USM 26,11,47,Field Goal
00:55,3,06:24,USM 23,12,68,Field Goal
07:01,4,00:37,USM 26,3,-5,Punt
04:06,4,01:13,USM 25,7,75,Touchdown
01:56,4,00:41,USM 20,6,33,Interception
