0367006720141108,,367,67
Louisville Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:46,1,02:01,BC 42,6,36,Field Goal
07:14,1,03:25,LOU 23,8,75,Fumble
02:20,1,01:59,LOU 49,4,10,Punt
14:07,2,05:53,LOU 15,11,84,Downs
06:03,2,00:57,BC 44,4,44,Touchdown
03:26,2,01:37,LOU 32,3,9,Punt
00:38,2,00:23,BC 19,1,19,Touchdown
15:00,3,07:46,LOU 25,14,75,Touchdown
03:30,3,02:16,LOU 25,3,-1,Punt
13:17,4,01:09,BC 27,3,27,Touchdown
08:16,4,02:20,LOU 13,3,3,Punt
05:43,4,00:56,BC 37,2,37,Touchdown
01:29,4,01:29,LOU 31,3,-6,End of Game
Boston College Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:14,BC 26,1,0,Interception
12:45,1,05:31,BC 36,12,64,Touchdown
03:49,1,01:29,BC 2,3,4,Punt
00:21,1,01:14,BC 29,4,71,Touchdown
08:14,2,02:11,BC 1,3,-96,Punt
05:06,2,01:40,BC 30,3,-10,Punt
01:49,2,01:11,BC 19,5,9,Punt
00:15,2,00:15,BC 25,1,14,End of Half
07:14,3,03:44,BC 29,7,71,Touchdown
01:14,3,02:57,BC 39,6,11,Interception
12:08,4,03:52,BC 25,8,73,Interception
05:56,4,00:13,BC 37,1,0,Interception
04:47,4,03:18,BC 29,9,40,Downs
