0380006720140920,,380,67
Maine Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:00,1,00:53,MAINE 39,3,5,Punt
10:47,1,01:06,BC 20,3,20,Touchdown
04:35,1,01:06,MAINE 20,3,0,Punt
03:17,1,03:17,MAINE 35,6,18,Punt
11:45,2,01:59,MAINE 21,5,72,Field Goal
06:29,2,03:22,MAINE 23,5,8,Punt
15:00,3,02:03,MAINE 42,3,-3,Punt
02:26,3,01:48,MAINE 33,3,0,Punt
11:03,4,03:22,MAINE 25,6,10,Punt
03:55,4,02:14,MAINE 25,3,0,Punt
Boston College Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:00,BC 26,3,-1,Punt
12:07,1,01:20,BC 21,3,-1,Interception
09:41,1,05:06,BC 37,10,40,Field Goal
03:29,1,00:12,BC 29,1,71,Touchdown
15:00,2,03:15,BC 27,6,20,Punt
09:46,2,03:17,BC 26,7,74,Touchdown
03:07,2,02:49,BC 40,13,43,Field Goal
00:18,2,00:18,BC 35,1,0,End of Half
12:57,3,08:00,BC 26,15,74,Touchdown
04:54,3,02:28,BC 45,6,55,Touchdown
00:38,3,04:35,BC 20,10,80,Touchdown
07:41,4,03:46,BC 30,9,45,Downs
01:41,4,01:41,BC 38,4,39,End of Game
