0388041420140830,,388,414
Marshall Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:27,1,03:06,MRSH 32,8,19,Punt
08:06,1,00:46,MRSH 46,3,54,Touchdown
04:50,1,01:57,MRSH 43,7,57,Touchdown
14:54,2,00:43,MRSH 27,3,73,Touchdown
12:58,2,01:15,MRSH 21,3,0,Punt
08:03,2,01:51,MRSH 32,3,-3,Punt
04:08,2,00:58,M-OH 40,3,40,Touchdown
00:00,2,00:00,MRSH 1,0,0,
14:54,3,00:55,MRSH 29,3,29,Fumble
11:53,3,00:55,MRSH 25,3,-11,Punt
10:01,3,01:26,MRSH 21,3,3,Punt
04:34,3,01:06,M-OH 42,4,7,Downs
00:02,3,02:16,MRSH 39,7,39,Downs
11:15,4,02:38,M-OH 49,6,49,Touchdown
06:25,4,04:24,MRSH 35,11,65,Touchdown
00:39,4,00:39,M-OH 26,1,-1,End of Game
Miami (OH) Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:33,M-OH 23,3,7,Punt
09:21,1,01:15,M-OH 4,3,9,Punt
07:20,1,02:30,M-OH 18,7,39,Downs
02:53,1,02:59,M-OH 27,6,46,Downs
14:11,2,01:13,M-OH 25,3,-6,Punt
11:43,2,03:40,M-OH 33,13,62,Field Goal
06:12,2,02:04,M-OH 7,3,-2,Punt
03:10,2,03:10,M-OH 25,7,74,Downs
13:59,3,02:06,M-OH 42,6,58,Touchdown
10:58,3,00:52,MRSH 7,4,0,Field Goal
08:35,3,04:01,M-OH 45,8,21,Interception
03:28,3,03:18,M-OH 35,7,65,Touchdown
12:46,4,01:31,M-OH 22,3,-17,Punt
08:37,4,02:12,M-OH 25,7,75,Touchdown
02:01,4,01:22,M-OH 25,7,1,Downs
