0392068820140920,,392,688
Maryland Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:37,1,01:58,MD 41,5,59,Touchdown
07:22,1,00:47,MD 10,2,90,Touchdown
03:48,1,01:34,MD 25,3,-3,Punt
14:56,2,02:18,MD 24,8,63,Field Goal
10:52,2,01:52,MD 12,5,38,Punt
07:48,2,01:35,SYR 28,4,28,Touchdown
00:00,2,00:00,MD 20,0,0,
15:00,3,01:54,MD 26,6,18,Punt
10:11,3,01:44,MD 39,4,20,Punt
05:39,3,01:56,MD 20,3,2,Punt
02:35,3,04:36,MD 25,8,18,Punt
11:40,4,04:40,MD 20,6,17,Punt
06:29,4,02:12,SYR 23,4,-3,Field Goal
00:48,4,00:48,SYR 43,2,-4,End of Game
Syracuse Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:23,SYR 23,11,59,Field Goal
09:39,1,02:17,SYR 25,5,30,Punt
06:35,1,02:47,SYR 24,7,44,Field Goal
02:14,1,02:18,MD 47,7,47,Touchdown
12:38,2,01:46,SYR 27,5,23,Punt
09:00,2,01:12,SYR 20,4,20,Punt
06:13,2,02:36,SYR 11,6,72,Interception
03:37,2,03:37,SYR 25,7,67,Downs
13:06,3,02:55,SYR 11,7,50,Downs
08:27,3,02:48,SYR 5,6,49,Punt
03:43,3,01:08,SYR 44,3,-4,Punt
12:59,4,01:19,SYR 41,4,3,Punt
07:00,4,00:31,SYR 18,1,0,Fumble
04:17,4,03:29,SYR 11,9,89,Touchdown
