0400053920140920,,400,539
Massachusetts Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:10,1,02:23,UMASS 37,7,41,Missed FG
06:17,1,01:02,UMASS 29,3,0,Punt
02:38,1,04:20,UMASS 25,11,44,Downs
10:11,2,01:11,UMASS 25,2,2,Fumble
08:48,2,02:09,UMASS 25,5,0,Punt
03:37,2,00:48,UMASS 25,3,-2,Punt
01:24,2,01:24,UMASS 25,6,21,End of Half
15:00,3,01:12,UMASS 25,3,6,Punt
08:10,3,02:56,UMASS 25,6,16,Fumble
00:17,3,00:30,UMASS 25,3,75,Touchdown
11:26,4,00:27,UMASS 28,3,0,Punt
09:25,4,04:06,UMASS 10,11,73,Downs
Penn State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:50,PSU 25,3,3,Punt
11:47,1,05:30,PSU 22,15,53,Field Goal
05:15,1,02:37,PSU 32,5,46,Field Goal
13:18,2,03:07,PSU 31,8,69,Touchdown
09:00,2,00:12,UMASS 20,2,20,Touchdown
06:39,2,03:02,PSU 36,6,64,Touchdown
02:49,2,01:25,PSU 44,5,56,Touchdown
13:48,3,05:38,PSU 28,11,72,Touchdown
05:14,3,04:57,UMASS 41,11,41,Touchdown
14:47,4,03:21,PSU 25,3,3,Punt
10:59,4,01:34,PSU 40,3,8,Punt
05:19,4,05:19,PSU 17,8,18,End of Game
