0402046320140906,,402,463
McNeese State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:02,1,04:36,NEB 47,10,47,Touchdown
06:44,1,01:34,MCNS 25,3,5,Punt
03:00,1,03:50,MCNS 25,7,26,Punt
05:47,2,03:22,MCNS 14,5,15,Punt
01:34,2,01:34,MCNS 10,3,4,End of Half
15:00,3,01:33,MCNS 21,3,9,Punt
11:14,3,01:37,MCNS 22,3,1,Punt
08:30,3,02:17,MCNS 2,4,25,Punt
03:51,3,05:06,MCNS 17,12,83,Touchdown
12:51,4,01:31,MCNS 33,3,-1,Punt
10:27,4,06:06,MCNS 5,14,88,Field Goal
02:40,4,01:26,MCNS 10,3,7,Punt
00:20,4,00:20,MCNS 24,2,0,Interception
Nebraska Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:58,NEB 43,4,4,Downs
08:26,1,01:42,NEB 27,6,73,Touchdown
05:10,1,02:10,NEB 33,6,67,Touchdown
14:10,2,04:02,NEB 20,10,71,Interception
10:08,2,04:21,NEB 18,12,82,Touchdown
02:25,2,00:51,NEB 49,3,5,Punt
13:27,3,02:13,NEB 28,4,2,Punt
09:37,3,01:07,NEB 47,3,1,Punt
06:13,3,02:22,MCNS 47,5,33,Field Goal
13:45,4,00:54,NEB 19,3,5,Downs
11:20,4,00:53,NEB 30,3,4,Punt
04:21,4,01:41,NEB 37,3,3,Punt
01:14,4,00:54,NEB 38,3,62,Touchdown
00:00,4,00:00,MCNS 31,0,0,
