0404043320140927,,404,433
Memphis Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:39,1,00:57,MEM 17,3,9,Punt
12:01,1,01:17,MEM 32,3,8,Punt
06:46,1,03:55,MEM 25,9,51,Field Goal
11:17,2,01:27,MEM 23,3,-7,Punt
09:18,2,00:53,MEM 6,3,1,Fumble
08:25,2,02:02,MISS 46,3,-2,Punt
01:26,2,01:26,MEM 10,8,42,Downs
15:00,3,02:53,MEM 25,8,31,Punt
09:58,3,01:03,MISS 30,3,3,Interception
07:11,3,01:16,MEM 26,3,-1,Punt
13:04,4,01:07,MEM 25,3,5,Punt
10:41,4,00:59,MEM 26,2,-3,Fumble
09:34,4,01:21,MEM 25,3,2,Punt
06:34,4,01:28,MEM 31,6,-2,Punt
01:18,4,01:18,MEM 24,3,11,End of Game
Ole Miss Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:21,MISS 37,3,-1,Punt
12:42,1,00:41,MISS 36,2,64,Touchdown
10:44,1,03:58,MISS 18,9,60,Interception
02:51,1,06:34,MISS 25,15,52,Missed FG
09:50,2,00:32,MISS 48,3,-5,Punt
06:23,2,04:57,MISS 2,11,76,Interception
12:07,3,02:09,MISS 15,5,15,Fumble
08:55,3,01:44,MEM 33,4,7,Missed FG
05:55,3,07:51,MISS 23,17,75,Field Goal
11:57,4,01:16,MISS 30,3,7,Punt
09:42,4,00:08,MEM 23,1,23,Touchdown
08:13,4,01:39,MISS 20,3,5,Punt
05:06,4,03:48,MISS 33,7,67,Touchdown
