0414041820140913,,414,418
Miami (OH) Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:13,1,01:41,M-OH 19,2,-9,Interception
07:00,1,02:18,M-OH 25,3,-8,Punt
03:07,1,01:41,M-OH 8,4,25,Punt
13:57,2,01:50,M-OH 29,3,4,Punt
11:21,2,02:14,MICH 35,5,26,Field Goal
09:07,2,01:43,MICH 21,4,21,Touchdown
04:26,2,00:57,M-OH 19,3,1,Punt
00:52,2,00:52,M-OH 20,2,-2,End of Half
15:00,3,02:01,M-OH 25,4,27,Punt
09:33,3,01:29,M-OH 28,3,8,Punt
05:58,3,01:00,M-OH 20,3,0,Punt
03:44,3,03:56,M-OH 25,8,43,Downs
09:50,4,03:55,M-OH 30,6,20,Punt
00:18,4,00:18,M-OH 30,1,2,End of Game
Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:47,50,8,38,Field Goal
09:32,1,02:32,M-OH 37,5,37,Touchdown
04:42,1,01:35,MICH 49,3,1,Punt
01:26,1,02:29,MICH 28,6,51,Fumble
12:07,2,00:46,MICH 21,2,1,Interception
09:14,2,00:07,MICH 33,0,-12,Fumble
07:24,2,02:58,MICH 34,6,66,Touchdown
03:29,2,02:37,MICH 47,6,11,Punt
12:59,3,03:26,MICH 14,6,22,Punt
08:04,3,02:06,MICH 32,4,24,Punt
04:58,3,01:14,MICH 37,3,63,Touchdown
14:48,4,04:58,MICH 32,9,68,Touchdown
05:55,4,05:37,MICH 19,11,58,Field Goal
