0415036720140901,,415,367
Miami (FL) Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:05,1,01:31,MIA 41,3,4,Punt
06:39,1,01:46,MIA 31,3,3,Punt
03:23,1,04:02,LOU 38,6,38,Touchdown
14:07,2,00:10,LOU 7,1,-5,Fumble
10:06,2,05:15,MIA 5,9,88,Field Goal
04:37,2,01:35,MIA 25,3,3,Punt
01:07,2,00:48,MIA 22,3,5,Punt
15:00,3,02:06,MIA 25,3,4,Punt
12:42,3,01:48,LOU 8,4,1,Field Goal
07:10,3,01:04,MIA 20,3,-5,Punt
03:34,3,01:14,MIA 25,4,10,Interception
13:11,4,03:41,MIA 29,7,38,Downs
01:43,4,01:43,MIA 35,9,46,Interception
Louisville Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:55,LOU 16,3,0,Punt
12:34,1,05:55,LOU 7,12,93,Touchdown
04:53,1,01:30,LOU 10,3,-3,Punt
14:21,2,00:14,LOU 10,1,-3,Fumble
13:57,2,03:51,LOU 13,10,32,Punt
04:51,2,00:14,MIA 0,0,0,Touchdown
03:02,2,01:55,LOU 17,4,26,Punt
00:19,2,00:19,LOU 26,3,14,End of Half
12:54,3,00:12,LOU 28,1,-20,Fumble
10:54,3,03:44,LOU 25,6,24,Punt
06:06,3,02:32,LOU 49,6,51,Touchdown
02:20,3,04:09,50,9,39,Field Goal
09:30,4,07:47,LOU 33,14,67,Touchdown
00:00,4,00:00,MIA 36,0,0,
