0416055920141011,,416,559
Michigan State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:16,MSU 25,8,75,Touchdown
07:25,1,03:38,MSU 25,9,75,Touchdown
01:36,1,04:59,MSU 16,11,84,Touchdown
09:00,2,03:41,MSU 25,9,50,Field Goal
01:43,2,01:15,MSU 27,7,46,Missed FG
12:49,3,05:33,MSU 23,13,77,Touchdown
06:04,3,01:15,PUR 47,3,47,Touchdown
01:37,3,00:37,MSU 14,3,3,Punt
14:20,4,03:19,MSU 49,6,30,Interception
08:49,4,01:18,MSU 25,4,5,Downs
06:19,4,03:20,MSU 25,7,28,Punt
00:56,4,00:56,PUR 27,2,-2,End of Game
Purdue Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:44,1,04:19,PUR 23,7,58,Field Goal
03:47,1,02:11,PUR 29,5,15,Punt
11:37,2,02:37,PUR 19,7,81,Touchdown
05:19,2,03:36,PUR 28,8,72,Touchdown
00:28,2,00:28,PUR 27,1,-2,End of Half
15:00,3,02:11,PUR 18,3,8,Punt
07:16,3,01:12,PUR 25,3,3,Punt
04:49,3,03:12,PUR 29,6,16,Punt
01:00,3,01:40,PUR 42,5,9,Fumble
11:01,4,02:12,PUR 40,4,60,Touchdown
07:31,4,01:12,MSU 30,3,30,Touchdown
02:59,4,01:37,PUR 5,7,17,Interception
01:22,4,00:26,PUR 34,4,-7,Downs
