0418058720141004,,418,587
Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:51,MICH 21,9,57,Field Goal
07:29,1,02:03,MICH 25,3,3,Punt
01:32,1,02:22,MICH 25,7,75,Touchdown
10:35,2,03:00,MICH 10,6,46,Punt
07:23,2,02:06,MICH 26,4,1,Punt
04:26,2,02:43,RUTG 43,6,43,Touchdown
00:22,2,00:22,MICH 24,1,3,End of Half
12:50,3,01:40,MICH 41,3,-2,Punt
06:42,3,02:39,MICH 31,4,4,Interception
13:12,4,03:55,MICH 31,7,69,Touchdown
06:34,4,03:33,MICH 14,9,48,Missed FG
Rutgers Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:09,1,02:40,RUTG 25,7,58,Field Goal
05:26,1,03:54,RUTG 26,8,47,Field Goal
14:10,2,03:35,RUTG 25,6,22,Punt
07:35,2,00:12,RUTG 20,1,80,Touchdown
05:17,2,00:51,RUTG 12,5,31,Downs
01:43,2,01:21,RUTG 25,11,75,Touchdown
15:00,3,02:10,RUTG 9,3,-7,Punt
11:10,3,04:28,RUTG 22,10,47,Downs
04:03,3,05:51,RUTG 41,10,59,Touchdown
09:17,4,02:43,RUTG 23,6,23,Punt
03:01,4,03:01,MICH 45,5,6,End of Game
