0419052320140926,,419,523
Middle Tennessee Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:48,1,03:19,ODU 48,6,8,Punt
10:10,1,04:51,MTSU 20,14,64,Fumble
04:09,1,05:39,MTSU 28,13,66,Field Goal
11:52,2,00:00,ODU 0,0,0,Touchdown
11:33,2,00:12,ODU 27,2,27,Touchdown
10:24,2,03:23,MTSU 47,8,53,Touchdown
02:37,2,02:37,MTSU 9,5,21,End of Half
14:53,3,02:05,MTSU 25,3,9,Punt
11:42,3,03:05,MTSU 48,8,46,Fumble
06:53,3,01:58,MTSU 37,7,63,Touchdown
01:01,3,01:14,MTSU 31,3,3,Punt
13:00,4,02:12,MTSU 39,5,61,Touchdown
08:49,4,03:31,ODU 49,7,37,Field Goal
03:45,4,03:45,MTSU 18,8,51,End of Game
Old Dominion Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:12,ODU 22,1,0,Interception
11:29,1,01:19,ODU 5,4,95,Fumble
05:19,1,01:10,ODU 16,5,8,Punt
13:25,2,01:33,ODU 21,3,0,Punt
11:41,2,00:08,ODU 16,1,0,Interception
11:17,2,00:53,ODU 20,3,0,Punt
06:55,2,04:18,ODU 26,9,74,Touchdown
12:48,3,01:06,ODU 28,3,-8,Punt
08:37,3,01:36,ODU 6,7,94,Touchdown
04:50,3,03:42,ODU 20,11,80,Touchdown
14:47,4,01:47,ODU 29,3,-14,Punt
10:42,4,01:52,ODU 26,7,74,Touchdown
05:18,4,01:33,ODU 25,6,35,Interception
