0428041820140927,,428,418
Minnesota Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:41,MINN 25,9,34,Downs
08:40,1,02:36,MINN 28,5,18,Punt
04:36,1,02:30,MINN 36,4,1,Punt
14:47,2,01:34,MINN 10,3,2,Punt
11:10,2,03:10,MINN 28,7,72,Touchdown
02:17,2,02:17,MINN 1,12,92,End of Half
13:41,3,00:57,MICH 39,3,0,Punt
10:47,3,03:51,MICH 39,7,8,Field Goal
05:16,3,02:24,MICH 30,5,30,Touchdown
01:38,3,03:48,MICH 45,7,37,Field Goal
07:27,4,02:52,MINN 25,5,17,Fumble
04:03,4,04:03,MINN 32,6,52,End of Game
Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:04,1,01:24,MICH 20,3,6,Punt
06:04,1,01:28,MICH 7,3,3,Fumble
02:06,1,02:19,MICH 22,5,33,Punt
13:13,2,02:03,MINN 47,4,47,Touchdown
08:00,2,05:43,MICH 14,9,32,Punt
15:00,3,01:19,MICH 12,3,8,Punt
12:44,3,01:57,MICH 7,3,0,Punt
06:56,3,00:14,MICH 25,2,0,Interception
06:42,3,01:26,MICH 25,3,5,Fumble
02:52,3,01:14,MICH 25,3,-2,Punt
12:50,4,05:23,MICH 26,12,74,Touchdown
04:35,4,00:32,MICH 5,3,0,Punt
