0430064620140913,,430,646
Mississippi State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:05,MSST 25,3,9,Punt
12:06,1,01:40,MSST 14,3,-6,Punt
07:48,1,02:52,MSST 20,7,80,Touchdown
04:17,1,00:07,USA 31,1,-5,Fumble
01:40,1,02:42,MSST 8,6,22,Punt
09:30,2,02:30,MSST 28,8,72,Touchdown
05:47,2,01:20,MSST 48,5,52,Touchdown
04:20,2,01:22,USA 32,4,32,Touchdown
01:05,2,01:05,MSST 16,5,37,End of Half
11:39,3,03:09,MSST 12,10,84,Fumble
07:27,3,00:10,USA 40,1,40,Touchdown
03:11,3,01:57,MSST 35,3,9,Punt
15:00,4,04:32,MSST 29,6,19,Punt
07:14,4,02:07,MSST 35,3,5,Punt
02:13,4,02:13,USA 40,4,21,END OF HALF
South Alabama Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:55,1,01:49,USA 36,6,12,Punt
10:26,1,02:38,MSST 33,7,19,Missed FG
04:56,1,00:39,USA 22,2,9,Fumble
04:10,1,02:30,USA 36,5,20,Punt
13:58,2,04:28,USA 20,10,71,Field Goal
07:00,2,01:13,USA 25,3,6,Punt
04:27,2,00:07,USA 25,1,0,Interception
02:58,2,01:53,USA 24,7,28,Punt
15:00,3,03:21,USA 25,6,26,Punt
08:30,3,01:03,USA 4,3,2,Punt
07:17,3,04:06,USA 25,12,49,Fumble
01:14,3,01:14,USA 20,3,9,Punt
10:28,4,03:14,USA 12,10,53,Downs
05:07,4,02:54,USA 11,9,56,Interception
