0433003120141122,,433,31
Ole Miss Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:43,MISS 20,3,2,Punt
12:05,1,00:47,MISS 23,2,4,Fumble
07:46,1,01:22,MISS 2,5,6,Punt
01:09,1,02:07,MISS 28,9,34,Fumble
13:00,2,00:53,MISS 15,3,7,Punt
08:35,2,00:42,MISS 20,3,4,Punt
04:18,2,02:53,MISS 3,8,84,Interception
00:00,2,00:00,MISS 20,0,0,
13:01,3,03:50,MISS 24,8,31,Downs
05:43,3,02:05,MISS 25,6,59,Interception
03:38,3,01:24,MISS 21,8,52,Downs
14:48,4,01:13,MISS 26,3,-18,Fumble
11:42,4,02:03,MISS 25,3,4,Punt
07:18,4,01:07,ARK 36,2,-4,Interception
03:50,4,03:50,MISS 4,8,48,End of Game
Arkansas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:17,1,01:12,ARK 48,3,52,Touchdown
11:18,1,03:32,MISS 29,9,24,Field Goal
06:24,1,05:15,MISS 49,9,49,Touchdown
14:02,2,01:02,ARK 38,3,-2,Punt
12:07,2,03:32,ARK 31,6,14,Punt
07:53,2,03:35,ARK 38,6,15,Fumble
01:25,2,01:25,ARK 20,8,60,Downs
15:00,3,01:59,ARK 23,3,6,Punt
09:11,3,03:28,ARK 45,8,41,Field Goal
02:14,3,02:26,ARK 27,5,13,Punt
13:35,4,01:53,MISS 1,4,0,Field Goal
09:39,4,02:21,ARK 17,4,19,Fumble
06:11,4,02:21,MISS 41,3,-5,Punt
