0434064820140927,,434,648
Missouri Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:10,1,01:04,SCAR 42,4,42,Touchdown
10:17,1,05:29,MIZZ 10,14,60,Missed FG
02:07,1,00:27,MIZZ 35,3,0,Punt
14:45,2,01:52,SCAR 44,5,-8,Punt
10:46,2,00:21,50,3,0,Punt
05:37,2,02:40,MIZZ 20,6,21,Punt
01:36,2,00:41,MIZZ 25,3,9,Punt
00:14,2,00:14,MIZZ 22,1,-2,End of Half
15:00,3,01:28,MIZZ 25,3,2,Punt
12:40,3,01:53,MIZZ 11,5,20,Punt
06:38,3,00:58,MIZZ 25,3,5,Punt
00:06,3,00:27,MIZZ 9,3,3,Punt
13:17,4,01:39,MIZZ 13,4,19,Punt
07:25,4,00:36,MIZZ 32,3,68,Touchdown
04:40,4,03:04,MIZZ 49,9,51,Touchdown
01:12,4,01:12,SCAR 25,2,-20,End of Game
South Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:50,SCAR 33,4,9,Downs
12:06,1,01:49,SCAR 25,4,26,Punt
04:48,1,02:41,SCAR 30,6,54,Field Goal
01:40,1,01:55,SCAR 23,3,-4,Punt
12:53,2,02:07,SCAR 20,3,-7,Punt
10:25,2,04:48,SCAR 21,12,35,Punt
02:57,2,01:21,SCAR 41,5,59,Touchdown
00:55,2,00:41,SCAR 22,4,15,Punt
13:32,3,00:52,SCAR 40,3,1,Punt
10:47,3,04:09,SCAR 30,9,47,Field Goal
05:40,3,05:34,SCAR 22,10,28,Punt
14:39,4,01:22,SCAR 37,3,6,Punt
11:38,4,04:13,SCAR 37,8,63,Touchdown
06:49,4,02:09,SCAR 25,3,0,Punt
01:36,4,00:24,SCAR 25,4,0,Downs
