0440003020140830,,440,30
Montana State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:19,1,01:47,MTST 25,3,-4,Punt
09:57,1,02:40,MTST 3,5,18,Punt
07:17,1,01:32,ARST 7,4,7,Touchdown
01:14,1,01:23,MTST 31,3,2,Punt
13:24,2,02:03,MTST 16,6,51,Missed FG
10:21,2,02:00,MTST 13,3,4,Punt
06:26,2,02:48,MTST 43,5,19,Punt
00:01,2,00:01,MTST 27,1,-3,End of Half
14:52,3,04:31,MTST 35,10,47,Field Goal
08:02,3,00:59,MTST 5,3,1,Punt
05:21,3,02:44,MTST 20,6,17,Punt
01:47,3,01:34,MTST 28,3,-8,Interception
14:21,4,03:27,MTST 13,11,42,Interception
09:47,4,01:22,MTST 25,3,-4,Punt
07:03,4,01:52,MTST 6,3,2,Punt
01:28,4,01:28,MTST 6,3,2,Punt
Arkansas State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:41,ARST 25,3,75,Touchdown
12:32,1,02:35,MTST 43,9,40,Downs
00:00,1,00:00,ARST 27,0,-20,Fumble
05:40,1,04:19,ARST 29,12,59,Field Goal
14:51,2,01:27,ARST 39,3,-2,Punt
11:21,2,01:00,ARST 33,3,5,Punt
08:21,2,01:55,ARST 30,6,27,Downs
03:38,2,03:33,ARST 1,13,93,Field Goal
10:13,3,02:11,ARST 38,5,20,Punt
07:03,3,01:37,MTST 40,5,17,Field Goal
02:37,3,00:44,ARST 20,3,80,Touchdown
00:13,3,00:48,ARST 46,4,54,Touchdown
10:54,4,01:07,MTST 15,4,15,Touchdown
08:25,4,01:22,ARST 28,3,5,Punt
05:11,4,03:43,ARST 36,8,58,Fumble
00:00,4,00:00,MTST 48,0,0,
