0441081120140830,,441,811
Montana Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:44,MONT 25,4,19,Punt
07:17,1,01:35,MONT 25,3,2,Punt
14:53,2,03:25,MONT 36,9,64,Touchdown
10:22,2,01:43,MONT 16,6,10,Punt
05:29,2,01:43,MONT 31,3,-1,Punt
02:09,2,01:16,MONT 20,7,28,Punt
13:27,3,02:00,MONT 28,3,1,Punt
09:13,3,01:50,MONT 38,5,20,Downs
05:10,3,01:36,MONT 21,3,6,Punt
02:11,3,03:43,MONT 22,8,41,Punt
11:42,4,03:22,MONT 43,10,57,Touchdown
06:28,4,01:07,MONT 19,3,1,Punt
00:02,4,00:02,MONT 16,1,0,End of Game
Wyoming Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:16,1,05:59,WYO 19,12,57,Field Goal
05:42,1,05:49,WYO 32,11,32,Fumble
11:28,2,01:06,WYO 25,3,2,Punt
08:39,2,03:10,WYO 27,6,6,Punt
03:46,2,01:37,MONT 9,3,3,Interception
00:53,2,00:53,WYO 8,2,8,End of Half
15:00,3,01:33,WYO 25,3,2,Punt
11:27,3,02:14,WYO 26,3,8,Punt
07:23,3,02:13,WYO 42,5,58,Touchdown
03:34,3,01:23,WYO 34,3,66,Touchdown
13:28,4,01:46,WYO 7,3,8,Punt
08:20,4,01:52,WYO 25,4,20,Punt
05:21,4,05:19,WYO 37,10,47,Downs
