0454036720140906,,454,367
Murray State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:29,MURR 30,3,2,Punt
11:50,1,01:35,MURR 46,3,-1,Punt
09:04,1,00:33,MURR 25,2,1,Interception
07:24,1,01:07,MURR 30,4,70,Touchdown
04:18,1,00:48,MURR 30,3,1,Punt
14:01,2,01:56,MURR 27,3,-2,Punt
10:58,2,01:11,MURR 30,3,0,Punt
05:17,2,03:05,MURR 25,9,35,Downs
00:22,2,00:22,MURR 25,1,0,End of Half
09:26,3,00:00,MURR 19,3,-4,Punt
03:59,3,01:46,MURR 25,8,75,Touchdown
00:56,3,02:33,MURR 26,9,74,Touchdown
07:23,4,01:01,MURR 25,5,31,Downs
00:25,4,00:25,MURR 19,1,5,End of Game
Louisville Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:31,1,01:41,LOU 9,3,9,Punt
10:15,1,01:11,MURR 43,3,43,Touchdown
08:31,1,01:07,MURR 28,3,28,Touchdown
06:17,1,01:59,LOU 17,6,83,Touchdown
03:30,1,04:29,LOU 27,9,73,Touchdown
12:05,2,01:07,MURR 48,3,48,Touchdown
09:47,2,04:30,LOU 33,9,67,Touchdown
02:12,2,01:50,LOU 40,11,32,Field Goal
15:00,3,05:34,LOU 11,10,89,Touchdown
09:26,3,05:27,LOU 46,8,54,Touchdown
02:13,3,01:17,LOU 25,3,6,Punt
13:23,4,06:00,LOU 29,10,71,Touchdown
06:22,4,05:57,LOU 45,11,36,Downs
