0457074620141025,,457,746
North Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:15,UNC 25,3,-3,Punt
09:08,1,01:48,UNC 25,5,23,Punt
03:06,1,00:45,UNC 25,4,75,Touchdown
01:26,1,00:31,UNC 30,2,70,Touchdown
14:48,2,01:48,UVA 43,5,21,Missed FG
11:05,2,01:41,UVA 29,4,1,Downs
06:02,2,01:14,UNC 13,4,87,Touchdown
00:28,2,00:11,UNC 39,1,0,Interception
00:00,2,00:00,UNC 33,0,0,
09:58,3,01:07,UNC 10,4,7,Punt
05:39,3,02:59,UNC 25,8,37,Punt
01:17,3,01:24,UNC 46,4,16,Punt
12:51,4,01:33,UNC 48,6,26,Missed FG
06:09,4,02:04,UVA 38,6,38,Touchdown
04:05,4,04:05,UNC 46,9,36,End of Game
Virginia Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:45,1,04:37,UVA 34,9,66,Touchdown
07:20,1,04:14,UVA 10,9,90,Touchdown
02:21,1,00:55,UVA 25,3,4,Punt
00:55,1,01:07,UVA 7,3,-2,Punt
13:00,2,01:55,UVA 22,3,-7,Punt
09:24,2,03:22,UVA 28,7,72,Touchdown
04:48,2,04:20,UVA 25,15,62,Field Goal
00:17,2,00:17,UVA 24,3,43,Missed FG
15:00,3,05:02,UVA 21,11,69,Interception
08:51,3,03:12,UNC 46,8,26,Field Goal
02:40,3,01:23,UVA 1,3,3,Punt
14:53,4,02:02,UVA 2,3,8,Punt
11:18,4,05:09,UVA 26,10,39,Interception
