0463031220141128,,463,312
Nebraska Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
08:54,1,03:39,NEB 10,6,26,Fumble
05:15,1,02:09,IOWA 34,4,2,Missed FG
10:54,2,01:47,NEB 11,3,-2,Interception
09:07,2,01:15,NEB 25,3,6,Punt
01:44,2,00:22,NEB 25,2,10,Interception
01:07,2,00:47,IOWA 36,4,36,Touchdown
15:00,3,01:09,NEB 25,3,-5,Punt
11:21,3,02:36,NEB 25,6,18,Punt
08:45,3,02:42,NEB 28,7,62,Missed FG
03:19,3,01:35,NEB 36,5,64,Touchdown
00:40,3,00:30,IOWA 48,3,0,Punt
13:32,4,00:08,IOWA 32,1,32,Touchdown
09:02,4,01:56,NEB 12,3,7,Punt
01:49,4,01:41,NEB 28,8,69,Field Goal
00:00,OT,00:00,IOWA 25,4,25,TOUCHDOWN
Iowa Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,06:06,IOWA 31,12,62,Interception
03:06,1,07:12,IOWA 32,15,60,Fumble
07:52,2,06:08,IOWA 38,11,58,Field Goal
01:22,2,00:15,IOWA 41,2,6,Fumble
00:20,2,00:20,IOWA 30,1,-1,End of Half
13:51,3,02:30,IOWA 47,5,53,Touchdown
06:03,3,02:44,IOWA 12,6,12,Punt
01:44,3,01:04,IOWA 22,3,0,Punt
00:10,3,01:38,IOWA 20,3,4,Punt
13:24,4,01:18,IOWA 29,5,13,Punt
12:06,4,03:04,IOWA 15,8,18,Punt
07:06,4,05:17,IOWA 47,12,53,Touchdown
00:08,4,00:00,IOWA 49,2,28,End of Game
00:00,OT,00:00,NEB 25,6,18,Field Goal
