0465062620140927,,465,626
UNLV Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:25,1,01:15,SDSU 13,4,8,Field Goal
11:55,1,01:46,UNLV 17,4,29,Punt
06:49,1,02:32,UNLV 12,7,88,Touchdown
14:21,2,02:58,UNLV 12,8,71,Interception
09:09,2,03:26,UNLV 5,7,17,Punt
03:04,2,02:21,UNLV 30,8,22,Punt
00:11,2,00:11,UNLV 30,1,3,End of Half
15:00,3,02:45,UNLV 19,6,59,Interception
09:03,3,03:25,UNLV 3,0,0,Possession (For OT Drives)
00:00,3,00:00,UNLV 3,9,71,Missed FG
13:37,4,02:50,UNLV 20,7,80,Touchdown
05:18,4,01:50,UNLV 23,3,6,Punt
01:12,4,01:12,UNLV 34,9,37,End of Game
San Diego State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:35,SDSU 19,3,-2,Punt
12:10,1,00:15,SDSU 29,1,71,Touchdown
10:09,1,03:20,SDSU 13,7,36,Punt
04:17,1,04:56,SDSU 29,9,71,Touchdown
11:23,2,02:14,SDSU 20,6,43,Punt
05:43,2,02:39,SDSU 43,4,57,Touchdown
00:43,2,00:32,SDSU 15,7,85,Touchdown
12:15,3,03:12,SDSU 33,6,16,Punt
05:38,3,07:01,SDSU 26,13,67,Field Goal
10:47,4,05:29,SDSU 20,11,66,Field Goal
03:28,4,02:16,SDSU 20,6,15,Punt
