0466007720141018,,466,77
Nevada Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:47,NEV 25,11,50,Field Goal
09:56,1,02:53,NEV 41,6,19,Punt
04:00,1,01:27,NEV 19,3,2,Punt
14:41,2,01:01,NEV 25,3,75,Touchdown
11:48,2,06:24,NEV 35,14,57,Field Goal
01:00,2,01:00,NEV 25,2,-1,End of Half
13:20,3,05:04,NEV 26,13,74,Touchdown
05:40,3,01:20,NEV 44,3,7,Punt
01:08,3,04:50,BYU 48,11,48,Touchdown
09:48,4,02:14,BYU 49,5,49,Touchdown
07:20,4,01:26,BYU 20,3,20,Touchdown
00:39,4,00:39,NEV 34,1,-2,End of Game
BYU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:13,1,01:17,BYU 17,3,4,Punt
07:03,1,03:03,BYU 3,12,97,Touchdown
02:33,1,02:52,BYU 28,14,73,Touchdown
13:40,2,01:52,BYU 40,6,60,Touchdown
05:24,2,04:24,BYU 10,16,90,Touchdown
15:00,3,01:40,BYU 26,8,48,Missed FG
08:16,3,02:36,BYU 25,6,14,Punt
04:20,3,03:12,BYU 11,10,56,Fumble
11:18,4,01:30,BYU 25,6,-9,Punt
07:34,4,00:14,BYU 22,1,-2,Fumble
05:54,4,03:20,BYU 25,15,75,Touchdown
02:34,4,01:05,BYU 40,3,3,Punt
01:29,4,00:50,BYU 10,6,51,Fumble
