0469070920140830,,469,709
New Hampshire Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:48,1,03:40,UNH 29,10,71,Touchdown
04:46,1,03:53,UNH 25,6,8,Punt
13:47,2,06:04,UNH 13,13,87,Touchdown
05:48,2,03:32,UNH 25,8,28,Punt
00:24,2,00:24,UNH 25,1,-2,End of Half
14:53,3,01:53,UNH 29,4,8,Downs
10:44,3,01:21,UNH 25,3,-2,Punt
07:01,3,02:28,UNH 26,7,74,Touchdown
01:16,3,02:09,UNH 30,7,24,Punt
12:10,4,01:22,UNH 25,5,1,Punt
10:27,4,01:30,UNH 25,4,29,Punt
04:05,4,02:36,UNH 25,8,68,Interception
Toledo Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:12,TOL 17,6,20,Punt
09:04,1,04:18,TOL 17,11,78,Field Goal
00:53,1,02:06,TOL 24,6,22,Punt
07:36,2,01:48,TOL 23,5,77,Touchdown
02:16,2,01:52,TOL 4,10,96,Touchdown
13:00,3,02:11,UNH 37,7,37,Touchdown
09:23,3,02:21,TOL 28,7,72,Touchdown
04:33,3,03:17,TOL 25,11,75,Touchdown
14:07,4,01:57,TOL 3,5,97,Touchdown
10:48,4,00:21,UNH 40,3,40,Touchdown
08:57,4,04:52,TOL 20,8,73,Field Goal
01:29,4,01:29,TOL 20,2,2,End of Game
