0472003020141129,,472,30
New Mexico State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:49,1,02:03,NMSU 29,3,7,Punt
07:55,1,05:14,NMSU 45,12,55,Touchdown
01:13,1,01:50,ARST 34,5,12,Interception
13:52,2,01:23,NMSU 25,3,3,Punt
11:21,2,00:13,NMSU 20,1,80,Touchdown
10:25,2,00:11,NMSU 25,1,75,Touchdown
06:18,2,01:21,ARST 46,3,1,Punt
02:31,2,02:31,NMSU 1,5,20,End of Half
15:00,3,03:21,NMSU 25,7,42,Punt
09:41,3,02:06,NMSU 25,3,-1,Punt
06:03,3,03:00,NMSU 25,10,75,Touchdown
01:19,3,01:19,NMSU 25,3,15,Punt
13:36,4,03:18,NMSU 49,11,45,Downs
06:11,4,01:50,NMSU 46,5,54,Touchdown
02:09,4,00:17,NMSU 43,2,0,Interception
01:47,4,01:47,NMSU 35,3,3,End of Game
Arkansas State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:06,ARST 25,6,75,Touchdown
10:46,1,02:51,ARST 45,6,10,Interception
02:41,1,01:28,ARST 25,5,17,Interception
14:23,2,00:31,ARST 2,2,98,Touchdown
12:29,2,01:08,ARST 44,3,5,Punt
11:03,2,00:38,NMSU 43,3,43,Touchdown
10:08,2,03:50,ARST 24,11,76,Touchdown
04:57,2,02:26,ARST 10,4,20,Punt
11:39,3,01:58,ARST 8,5,92,Touchdown
07:35,3,01:32,ARST 49,6,51,Touchdown
02:54,3,01:35,ARST 26,6,74,Touchdown
15:00,4,01:17,ARST 41,4,59,Touchdown
10:18,4,03:54,ARST 6,9,94,Touchdown
04:21,4,02:12,ARST 25,3,7,Punt
01:52,4,00:00,NMSU 0,0,0,Touchdown
