0473072120141018,,473,721
New Mexico Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:48,UNM 25,5,75,Touchdown
06:12,1,03:20,UNM 25,7,45,Downs
01:27,1,02:52,UNM 3,6,18,Fumble
13:28,2,00:50,UNM 25,3,3,Punt
09:57,2,00:53,UNM 42,2,58,Touchdown
05:28,2,00:00,AFA 43,0,0,Touchdown
03:16,2,02:52,UNM 20,7,39,Punt
13:19,3,01:53,UNM 38,3,3,Punt
10:18,3,01:39,UNM 32,4,68,Touchdown
06:41,3,01:32,UNM 28,3,1,Punt
03:35,3,06:34,UNM 22,12,68,Field Goal
10:08,4,03:04,UNM 20,6,14,Punt
02:51,4,01:11,UNM 4,4,9,Downs
00:06,4,00:06,UNM 26,1,3,Fumble
Air Force Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:12,1,06:00,AFA 25,18,75,Touchdown
02:52,1,01:25,AFA 30,4,18,Punt
13:35,2,00:07,UNM 21,1,21,Touchdown
12:38,2,02:41,AFA 31,7,27,Downs
09:04,2,03:36,AFA 25,9,18,Fumble
05:28,2,02:07,AFA 25,7,75,Touchdown
00:24,2,00:24,AFA 20,1,5,End of Half
15:00,3,01:41,AFA 25,3,6,Punt
11:26,3,01:08,AFA 26,3,6,Punt
08:39,3,01:51,AFA 25,6,75,Touchdown
05:09,3,01:34,AFA 27,5,73,Touchdown
12:01,4,01:53,AFA 35,6,16,Punt
07:04,4,04:13,AFA 29,9,26,Punt
01:40,4,01:34,UNM 13,4,-13,Downs
00:00,4,00:00,UNM 29,0,0,
