0483003120140906,,483,31
Nicholls State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:07,NICH 35,5,1,Punt
12:38,1,01:39,NICH 25,3,-18,Punt
10:50,1,01:07,NICH 14,3,-3,Punt
08:35,1,02:06,NICH 27,3,5,Punt
03:21,1,00:48,NICH 19,3,0,Punt
02:27,1,02:38,NICH 25,6,10,Punt
12:42,2,02:07,NICH 41,4,9,Downs
10:24,2,03:47,NICH 20,8,30,Punt
05:55,2,01:40,NICH 21,4,0,Punt
02:54,2,02:54,NICH 23,5,7,End of Half
14:08,3,04:53,NICH 25,9,75,Touchdown
04:11,3,00:14,ARK 30,1,0,Interception
14:08,4,04:19,NICH 24,8,62,Missed FG
03:33,4,03:33,NICH 28,10,50,End of Game
Arkansas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:53,1,00:15,ARK 18,1,82,Touchdown
10:59,1,00:09,NICH 33,1,33,Touchdown
09:43,1,01:08,NICH 37,3,37,Touchdown
06:29,1,03:08,ARK 36,6,64,Touchdown
02:33,1,00:06,NICH 2,1,2,Touchdown
14:49,2,02:07,ARK 20,3,-7,Punt
10:35,2,00:11,50,1,50,Touchdown
06:37,2,00:42,ARK 10,1,90,Touchdown
04:15,2,01:21,NICH 46,3,46,Touchdown
15:00,3,00:52,NICH 48,2,48,Touchdown
09:15,3,05:04,ARK 41,9,55,Interception
03:57,3,04:49,ARK 24,12,71,Field Goal
09:49,4,06:16,ARK 20,12,80,Touchdown
