0485008620140920,,485,86
Norfolk State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:05,1,01:19,NORF 34,3,7,Punt
10:25,1,00:10,NORF 32,1,68,Touchdown
04:58,1,02:47,NORF 31,6,15,Punt
11:57,2,01:22,NORF 20,4,-1,Downs
08:44,2,02:00,NORF 25,3,-14,Punt
04:48,2,02:04,NORF 6,3,-4,Punt
00:05,2,00:05,NORF 25,1,-2,End of Half
15:00,3,02:13,NORF 25,6,24,Fumble
10:32,3,02:06,NORF 8,3,9,Punt
07:01,3,03:09,NORF 25,5,8,Punt
01:50,3,01:35,NORF 5,3,3,Punt
14:50,4,02:07,NORF 10,5,17,Punt
09:40,4,05:48,NORF 25,12,73,Fumble
00:58,4,00:58,NORF 41,3,17,End of Game
Buffalo Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:55,BUFF 15,5,20,Punt
10:46,1,00:12,BUFF 8,1,92,Touchdown
10:15,1,05:14,BUFF 25,11,75,Touchdown
02:11,1,05:14,BUFF 20,13,74,Missed FG
10:35,2,01:51,NORF 19,4,19,Touchdown
06:44,2,01:56,NORF 44,3,-5,Punt
02:44,2,02:39,NORF 30,8,8,Field Goal
12:47,3,02:15,NORF 49,5,6,Punt
08:26,3,01:25,NORF 24,3,24,Touchdown
03:52,3,02:02,BUFF 23,6,19,Punt
00:15,3,00:25,NORF 44,3,4,Punt
12:43,4,03:03,BUFF 14,8,86,Touchdown
03:52,4,02:54,BUFF 2,5,14,Punt
