0489019620140830,,489,196
North Carolina Central Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:34,1,02:46,NCCU 45,4,16,Punt
10:15,1,00:00,ECU 31,0,0,Touchdown
07:16,1,02:22,NCCU 31,3,-9,Punt
03:27,1,04:21,NCCU 13,7,13,Punt
12:24,2,02:08,NCCU 20,3,7,Punt
06:22,2,00:19,NCCU 25,3,0,Punt
05:14,2,01:02,NCCU 8,2,-6,Fumble
02:43,2,02:43,NCCU 19,6,34,End of Half
15:00,3,06:11,NCCU 25,9,38,Punt
04:26,3,01:04,NCCU 9,3,1,Punt
01:50,3,02:08,NCCU 22,3,8,Punt
12:29,4,03:09,NCCU 20,5,9,Punt
06:40,4,01:53,NCCU 30,3,3,Punt
01:22,4,01:22,NCCU 24,2,14,End of Game
East Carolina Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:26,ECU 20,5,14,Punt
10:48,1,00:33,ECU 7,2,24,Fumble
10:15,1,02:59,ECU 36,9,47,Field Goal
04:54,1,01:27,ECU 44,3,56,Touchdown
14:06,2,01:42,ECU 46,3,-9,Punt
10:16,2,03:54,ECU 35,12,65,Touchdown
06:03,2,00:49,NCCU 47,3,47,Touchdown
04:12,2,01:29,NCCU 2,3,2,Touchdown
08:49,3,04:23,ECU 14,9,46,Punt
03:22,3,01:32,ECU 38,5,62,Touchdown
14:42,4,02:13,ECU 40,7,39,Interception
09:20,4,02:40,ECU 14,7,86,Touchdown
04:47,4,03:25,ECU 12,7,88,Touchdown
