0490065120140913,,490,651
NC State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:10,1,02:50,NCST 12,7,88,Touchdown
09:10,1,01:29,NCST 26,3,1,Punt
06:23,1,04:51,NCST 21,12,79,Touchdown
00:42,1,01:26,USF 19,4,19,Touchdown
13:07,2,03:23,NCST 47,8,53,Touchdown
06:37,2,04:17,NCST 28,11,72,Touchdown
01:03,2,01:03,NCST 32,2,6,End of Half
15:00,3,03:32,NCST 25,9,75,Touchdown
10:17,3,01:47,NCST 44,4,56,Touchdown
05:19,3,01:22,NCST 25,3,5,Punt
03:17,3,02:38,NCST 26,6,18,Interception
00:39,3,04:53,NCST 25,8,36,Punt
05:35,4,05:18,NCST 20,9,56,Downs
South Florida Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:50,USF 25,5,17,Punt
09:20,1,00:10,USF 25,1,75,Touchdown
07:41,1,01:18,USF 14,3,8,Fumble
01:32,1,00:50,USF 25,2,-6,Fumble
14:16,2,01:09,USF 27,3,-9,Punt
09:44,2,03:07,USF 20,6,-5,Punt
02:20,2,01:17,USF 25,3,-6,Punt
11:28,3,01:11,USF 17,3,0,Punt
08:30,3,01:16,USF 19,3,-5,Fumble
07:14,3,01:55,NCST 26,6,2,Field Goal
03:57,3,00:40,USF 14,2,21,Interception
10:46,4,05:11,USF 20,9,51,Interception
00:17,4,00:17,USF 24,2,-1,End of Game
