0493031120140830,,493,311
North Dakota State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:24,1,06:14,NDSU 15,12,36,Punt
01:05,1,01:26,NDSU 19,4,7,Punt
13:59,2,00:13,NDSU 20,1,80,Touchdown
11:50,2,01:59,NDSU 33,3,9,Punt
08:58,2,04:16,NDSU 23,9,77,Touchdown
01:12,2,01:12,ISU 40,5,38,Field Goal
15:00,3,01:23,NDSU 35,3,5,Punt
11:02,3,05:10,NDSU 8,14,88,Field Goal
04:51,3,03:15,ISU 40,7,40,Touchdown
14:52,4,05:00,NDSU 36,8,30,Punt
08:00,4,02:40,NDSU 20,4,80,Touchdown
02:48,4,02:48,NDSU 35,4,11,End of Game
Iowa State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:29,ISU 25,10,75,Touchdown
05:10,1,04:05,ISU 15,8,28,Punt
14:39,2,00:36,ISU 49,2,51,Touchdown
13:46,2,01:56,ISU 25,3,9,Punt
09:51,2,00:53,ISU 20,3,1,Punt
04:36,2,03:24,ISU 19,8,35,Interception
13:37,3,02:35,ISU 20,5,15,Punt
05:52,3,01:01,ISU 25,3,12,Interception
01:36,3,01:44,ISU 25,3,-11,Punt
09:52,4,01:52,ISU 20,3,4,Punt
05:14,4,02:26,ISU 28,10,37,Downs
