0494063020140828,,494,630
North Dakota Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:58,UND 40,7,21,Downs
08:19,1,01:47,UND 12,3,-3,Punt
02:20,1,04:11,UND 24,9,53,Interception
05:22,2,03:29,UND 10,6,65,Field Goal
01:02,2,01:02,UND 23,2,6,End of Half
13:10,3,01:37,UND 30,3,0,Punt
06:38,3,02:11,UND 35,3,9,Punt
02:00,3,01:46,UND 1,3,2,Punt
00:10,3,02:25,UND 30,5,9,Punt
08:26,4,02:36,UND 47,5,7,Fumble
04:02,4,02:45,UND 45,7,55,Touchdown
San Jos\xe9 State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:02,1,02:38,SJSU 39,8,61,Touchdown
06:32,1,04:07,SJSU 47,10,53,Touchdown
13:09,2,07:40,SJSU 19,15,81,Touchdown
01:53,2,00:51,SJSU 25,5,52,Missed FG
15:00,3,01:50,SJSU 25,3,9,Punt
11:33,3,04:55,SJSU 35,9,65,Touchdown
04:27,3,02:27,UND 48,3,-2,Punt
00:14,3,00:00,UND 0,0,0,Touchdown
12:45,4,04:19,SJSU 23,8,77,Touchdown
05:50,4,01:48,SJSU 46,4,9,Downs
01:12,4,01:12,SJSU 23,2,1,END OF HALF
