0497070620141129,,497,706
North Texas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
11:25,1,03:01,UNT 22,8,55,Field Goal
06:23,1,01:57,UNT 20,5,22,Punt
02:22,1,03:15,UNT 33,10,45,Field Goal
10:46,2,02:32,UNT 19,8,30,Punt
08:14,2,01:51,UTSA 18,4,6,Field Goal
05:21,2,02:19,UNT 25,3,7,Punt
03:02,2,02:16,UTSA 38,6,34,Field Goal
15:00,3,02:19,UNT 21,3,3,Punt
10:05,3,04:52,UNT 13,11,87,Touchdown
02:26,3,05:14,UNT 29,12,71,Touchdown
10:01,4,01:32,UNT 13,5,23,Punt
06:56,4,01:25,UNT 15,3,3,Punt
04:18,4,01:54,UNT 25,6,13,Punt
00:00,4,00:00,50,0,-1,Fumble
Texas San Antonio Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,03:35,UTSA 25,8,75,Touchdown
08:24,1,02:01,UTSA 25,6,6,Punt
04:26,1,02:04,UTSA 4,3,22,Punt
14:07,2,03:21,UTSA 35,9,65,Touchdown
00:00,2,00:00,UTSA 21,0,-3,Fumble
06:23,2,01:02,UTSA 24,3,76,Touchdown
00:00,2,00:00,UTSA 30,0,8,Fumble
00:46,2,00:46,UTSA 25,3,-12,End of Half
12:41,3,02:36,UTSA 21,6,79,Touchdown
05:13,3,02:47,UTSA 25,6,20,Punt
12:12,4,02:11,UTSA 25,4,34,Punt
08:29,4,01:33,UTSA 20,4,20,Punt
05:31,4,01:13,UTSA 46,3,54,Touchdown
02:24,4,00:30,UTSA 21,3,4,Punt
01:54,4,01:54,UNT 49,4,9,End of Game
