0498003020141004,,498,30
Louisiana Monroe Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:17,1,01:43,ULM 30,3,5,Punt
09:07,1,02:16,ULM 28,4,6,Punt
06:00,1,01:02,ULM 49,4,23,Fumble
00:19,1,00:34,ULM 20,3,3,Punt
14:40,2,00:59,ARST 32,4,21,Fumble
08:31,2,01:29,ULM 28,3,-4,Punt
06:05,2,01:17,ULM 11,3,7,Punt
02:20,2,01:28,ULM 20,6,11,Punt
00:02,2,00:02,ULM 35,1,-6,End of Half
14:53,3,00:50,ULM 18,3,8,Punt
10:56,3,01:32,ULM 13,4,23,Punt
08:45,3,02:37,ULM 27,7,31,Punt
01:32,3,02:29,ULM 21,6,17,Punt
12:31,4,00:10,ULM 41,1,59,Touchdown
10:01,4,00:23,ULM 24,4,-2,Downs
09:13,4,02:50,ULM 25,9,39,Downs
02:41,4,01:11,ULM 3,7,97,Touchdown
Arkansas State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:43,ARST 25,3,6,Punt
11:34,1,02:27,ARST 19,7,53,Downs
06:51,1,00:51,ARST 23,2,6,Interception
04:58,1,04:39,ARST 28,10,66,Missed FG
14:45,2,00:05,ARST 30,1,2,Fumble
13:41,2,05:10,ARST 11,10,19,Punt
07:02,2,00:57,ARST 42,3,1,Punt
04:48,2,02:28,ARST 26,6,35,Punt
00:52,2,00:50,ARST 40,6,25,Downs
14:03,3,03:07,ARST 9,8,37,Punt
09:24,3,00:33,ARST 29,3,71,Touchdown
06:08,3,04:30,ARST 20,11,80,Touchdown
14:03,4,01:32,ARST 22,3,39,Interception
12:21,4,02:13,ARST 25,6,75,Touchdown
09:38,4,00:25,ULM 22,2,22,Touchdown
06:23,4,03:42,ARST 36,5,18,Punt
01:29,4,01:29,ULM 46,2,6,End of Game
