0501062620140830,,501,626
Northern Arizona Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:53,1,00:55,NAU 25,3,3,Punt
08:03,1,03:15,NAU 35,6,21,Punt
01:29,1,01:42,NAU 25,6,47,Missed FG
13:19,2,04:26,NAU 25,8,31,Punt
03:19,2,01:37,SDSU 31,5,-29,Punt
00:29,2,00:29,NAU 23,1,1,End of Half
15:00,3,01:07,NAU 36,3,5,Punt
10:12,3,03:36,NAU 26,9,74,Touchdown
05:30,3,04:40,NAU 20,9,41,Interception
00:40,3,01:59,NAU 27,3,3,Punt
13:41,4,03:40,NAU 21,7,27,Punt
03:58,4,02:34,NAU 11,5,49,Downs
San Diego State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:07,SDSU 27,5,17,Punt
11:58,1,03:55,SDSU 37,9,63,Touchdown
04:48,1,03:19,SDSU 12,7,88,Touchdown
14:47,2,01:28,SDSU 31,5,38,Field Goal
08:53,2,05:34,SDSU 14,12,57,Missed FG
01:42,2,01:13,SDSU 25,5,75,Touchdown
13:53,3,03:41,SDSU 23,8,31,Interception
06:36,3,01:06,SDSU 31,3,1,Punt
00:50,3,00:05,NAU 1,1,1,Touchdown
13:41,4,00:00,NAU 0,0,0,Touchdown
10:01,4,06:03,SDSU 10,10,53,Punt
01:24,4,01:24,SDSU 40,3,15,End of Game
