0502046520140906,,502,465
Northern Colorado Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:23,UNCO 17,3,5,Punt
10:47,1,03:04,UNCO 25,6,43,Missed FG
04:20,1,02:44,UNCO 20,4,7,Punt
00:42,1,03:00,UNCO 31,9,55,Field Goal
09:46,2,02:12,UNCO 28,3,-6,Punt
05:53,2,03:15,UNCO 17,6,19,Punt
01:44,2,00:55,UNCO 12,3,4,Punt
11:21,3,04:26,UNCO 3,8,97,Touchdown
04:13,3,02:05,UNCO 8,4,27,Interception
00:22,3,03:47,UNCO 25,7,24,Punt
10:46,4,05:01,UNCO 31,10,63,Missed FG
00:03,4,00:03,UNCO 15,1,23,End of Game
UNLV Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:37,1,01:50,UNLV 36,5,64,Touchdown
07:43,1,03:23,UNLV 32,6,21,Punt
01:36,1,00:54,UNLV 45,3,12,Interception
12:34,2,02:48,UNLV 31,6,20,Punt
07:34,2,01:36,UNCO 35,4,-2,Field Goal
02:38,2,00:54,UNLV 23,5,38,Interception
00:49,2,00:49,UNLV 26,5,14,End of Half
15:00,3,03:39,UNLV 25,11,59,Interception
06:47,3,02:34,UNLV 32,6,17,Punt
02:08,3,01:46,UNCO 20,4,2,Field Goal
11:35,4,00:41,UNLV 2,2,-2,Safety
05:45,4,05:42,UNLV 20,13,73,Interception
