0503020420141025,,503,204
Northern Illinois Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:04,1,00:43,NIU 17,3,83,Touchdown
07:20,1,01:30,NIU 25,3,9,Punt
04:18,1,04:07,NIU 48,11,52,Touchdown
11:49,2,03:58,NIU 44,7,48,Missed FG
03:07,2,01:28,NIU 20,3,5,Punt
15:00,3,02:33,NIU 25,8,20,Downs
12:18,3,01:28,NIU 10,3,2,Punt
08:17,3,02:43,NIU 24,7,61,Missed FG
14:54,4,02:59,NIU 35,9,65,Touchdown
06:46,4,03:20,NIU 37,7,63,Touchdown
01:03,4,01:03,NIU 31,2,-2,End of Game
Eastern Michigan Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:56,EMU 3,6,28,Punt
11:14,1,03:54,EMU 20,10,80,Touchdown
05:50,1,01:32,EMU 28,3,1,Punt
00:04,1,03:15,EMU 22,6,1,Punt
07:51,2,04:44,EMU 8,10,55,Punt
01:39,2,01:35,EMU 37,8,59,Field Goal
12:27,3,00:09,NIU 45,1,-1,Interception
10:50,3,02:33,EMU 38,5,4,Punt
05:34,3,05:40,EMU 15,12,85,Touchdown
11:55,4,05:09,EMU 25,12,38,Downs
03:26,4,02:23,EMU 25,11,44,Missed FG
