0504031220140830,,504,312
Northern Iowa Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:44,1,02:06,UNI 28,6,53,Field Goal
07:20,1,02:49,UNI 19,6,18,Punt
02:44,1,01:53,UNI 47,6,9,Punt
14:46,2,02:30,IOWA 48,5,48,Touchdown
05:03,2,02:46,UNI 25,5,55,Field Goal
00:01,2,00:01,UNI 25,1,-2,End of Half
15:00,3,03:00,UNI 16,6,17,Punt
10:13,3,00:42,UNI 25,2,75,Touchdown
07:05,3,00:48,UNI 44,3,1,Interception
03:23,3,05:41,UNI 20,11,59,Field Goal
10:33,4,00:53,UNI 42,3,8,Punt
06:50,4,01:32,UNI 25,3,-11,Punt
03:05,4,02:05,UNI 18,8,35,Interception
Iowa Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:16,UNI 41,3,41,Touchdown
11:38,1,04:18,IOWA 25,10,56,Downs
04:31,1,01:47,IOWA 17,3,6,Punt
00:51,1,01:05,IOWA 9,3,5,Punt
12:16,2,07:13,IOWA 21,17,79,Touchdown
02:17,2,02:16,IOWA 27,10,51,Field Goal
12:00,3,01:47,IOWA 43,4,57,Touchdown
09:31,3,02:26,IOWA 25,5,22,Fumble
06:17,3,02:54,IOWA 49,8,33,Missed FG
12:42,4,02:09,IOWA 21,3,8,Punt
09:40,4,02:50,IOWA 12,6,88,Touchdown
05:18,4,02:13,IOWA 36,5,16,Punt
01:00,4,01:00,IOWA 31,2,-3,End of Game
