0508005120140906,,508,51
Northwestern State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:42,1,01:52,NWST 27,3,6,Interception
10:19,1,02:48,NWST 24,4,36,Punt
07:11,1,02:15,NWST 44,3,2,Punt
03:21,1,02:30,NWST 13,3,-4,Punt
00:19,1,02:25,NWST 25,9,67,Field Goal
06:49,2,00:55,NWST 25,3,4,Punt
04:18,2,01:57,NWST 4,4,13,Punt
02:13,2,00:52,NWST 25,4,12,Punt
01:02,2,01:02,NWST 48,2,4,End of Half
15:00,3,01:25,NWST 21,3,-7,Punt
09:57,3,04:05,NWST 28,7,17,Fumble
05:52,3,03:20,BAY 29,7,18,Field Goal
12:32,4,02:28,BAY 47,3,4,Punt
04:14,4,04:14,NWST 45,7,27,End of Game
Baylor Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:18,BAY 22,4,78,Touchdown
11:50,1,01:31,NWST 34,6,34,Touchdown
07:31,1,00:20,BAY 4,2,96,Touchdown
04:56,1,01:35,BAY 18,6,22,Punt
00:51,1,00:32,NWST 42,3,42,Touchdown
12:54,2,06:05,BAY 41,16,59,Touchdown
05:54,2,01:36,BAY 38,8,58,Fumble
02:21,2,00:08,BAY 39,1,61,Touchdown
01:21,2,00:19,BAY 32,2,68,Touchdown
13:35,3,03:38,NWST 49,11,49,Touchdown
02:32,3,05:00,BAY 12,10,88,Touchdown
10:04,4,05:50,BAY 45,9,55,Touchdown
