0509031220141101,,509,312
Northwestern Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:15,1,01:08,NW 26,4,7,Punt
09:43,1,01:24,NW 23,3,-2,Punt
05:28,1,01:49,NW 29,3,-12,Punt
03:39,1,01:09,NW 25,3,1,Punt
00:48,1,01:27,IOWA 18,4,18,Touchdown
08:11,2,03:55,NW 25,8,21,Punt
02:02,2,00:21,NW 28,3,6,Fumble
00:54,2,00:54,NW 25,3,1,End of Half
15:00,3,03:10,NW 24,5,10,Punt
10:05,3,03:54,NW 44,10,55,Downs
04:14,3,02:42,NW 20,6,1,Punt
13:47,4,01:53,NW 24,6,15,Punt
03:17,4,03:17,NW 25,9,34,End of Game
Iowa Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:45,NW 31,4,31,Touchdown
12:07,1,02:24,IOWA 15,6,55,Field Goal
08:19,1,02:51,IOWA 40,5,60,Touchdown
03:39,1,00:00,NW 1,0,0,Touchdown
02:30,1,01:42,IOWA 28,4,-10,Downs
14:21,2,06:10,IOWA 25,12,75,Touchdown
04:16,2,02:14,IOWA 13,6,38,Punt
01:41,2,00:47,NW 34,3,34,Touchdown
11:50,3,01:45,IOWA 35,4,21,Fumble
06:11,3,01:57,IOWA 1,5,31,Punt
01:32,3,02:45,IOWA 44,7,50,Field Goal
11:54,4,08:37,IOWA 19,17,81,Touchdown
