0513065720141129,,513,657
Notre Dame Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,01:12,ND 25,3,-4,Punt
10:16,1,01:48,ND 20,7,28,Punt
06:50,1,01:13,ND 18,3,-3,Punt
03:36,1,01:28,ND 25,3,-1,Punt
00:43,1,03:26,ND 16,8,37,Interception
10:51,2,02:38,ND 27,5,25,Fumble
05:15,2,01:04,ND 36,3,64,Touchdown
01:42,2,01:33,ND 19,10,54,Missed FG
11:19,3,01:19,ND 23,4,13,Punt
06:02,3,03:14,ND 25,9,75,Touchdown
07:44,4,03:26,ND 18,10,61,Downs
USC Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
13:48,1,03:32,USC 32,10,33,Punt
08:28,1,01:38,USC 20,5,80,Touchdown
05:37,1,02:01,USC 49,7,51,Touchdown
02:08,1,01:25,USC 45,5,55,Touchdown
12:17,2,01:26,USC 49,6,51,Touchdown
08:13,2,02:58,USC 49,7,51,Touchdown
04:11,2,02:29,USC 25,5,20,Punt
00:09,2,00:09,USC 27,1,-1,End of Half
15:00,3,03:41,USC 25,11,75,Touchdown
10:00,3,03:58,USC 30,11,70,Touchdown
02:48,3,10:04,USC 25,17,57,Downs
04:18,4,04:18,USC 21,8,40,End of Game
