0518042820141115,,518,428
Ohio State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:29,OSU 21,3,9,Punt
11:31,1,01:17,OSU 5,3,95,Touchdown
08:05,1,03:32,OSU 13,8,87,Touchdown
02:59,1,01:33,OSU 20,3,24,Interception
14:27,2,01:21,OSU 25,3,1,Punt
11:34,2,04:02,OSU 4,8,94,Fumble
01:24,2,01:24,OSU 38,10,57,End of Half
10:32,3,02:55,OSU 35,6,65,Touchdown
02:39,3,02:02,OSU 45,3,7,Punt
12:42,4,02:34,MINN 32,6,32,Touchdown
07:08,4,04:34,OSU 20,9,34,Punt
01:19,4,01:19,MINN 42,2,-3,End of Game
Minnesota Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:31,1,01:00,MINN 38,3,7,Punt
10:14,1,02:09,MINN 36,3,6,Punt
04:33,1,01:34,MINN 30,3,6,Punt
01:26,1,01:59,OSU 39,5,39,Touchdown
13:06,2,01:32,MINN 35,3,0,Punt
07:32,2,06:08,MINN 20,11,80,Touchdown
15:00,3,04:28,MINN 37,9,28,Missed FG
07:37,3,04:58,MINN 8,8,52,Interception
00:37,3,02:55,MINN 18,5,15,Interception
10:08,4,02:12,MINN 35,5,12,Fumble
07:56,4,00:48,OSU 14,2,14,Touchdown
02:34,4,01:15,MINN 20,9,63,Field Goal
