0519041420141125,,519,414
Ohio Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,02:04,OHIO 15,4,26,Punt
08:45,1,07:47,OHIO 16,13,48,Punt
15:00,2,00:54,OHIO 46,3,7,Punt
11:47,2,01:05,OHIO 10,3,8,Interception
10:37,2,01:39,OHIO 25,3,-5,Punt
04:29,2,00:00,M-OH 0,0,0,Touchdown
02:54,2,01:54,OHIO 37,6,25,Interception
00:00,2,00:00,OHIO 16,0,0,
13:26,3,02:45,OHIO 29,6,64,Interception
09:15,3,00:45,M-OH 14,2,14,Touchdown
06:07,3,02:38,OHIO 21,5,20,Punt
01:31,3,05:03,M-OH 41,9,41,Touchdown
06:52,4,05:05,OHIO 13,9,62,Missed FG
01:08,4,01:08,OHIO 20,5,69,Field Goal
Miami (OH) Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
12:56,1,04:02,M-OH 27,11,73,Touchdown
00:58,1,00:58,M-OH 2,4,19,Punt
14:06,2,02:19,M-OH 20,5,29,Punt
10:42,2,00:00,OHIO 0,0,0,Touchdown
08:58,2,04:15,M-OH 22,8,78,Touchdown
04:29,2,01:35,M-OH 25,3,9,Punt
01:00,2,01:00,M-OH 20,4,18,Punt
14:51,3,01:25,M-OH 26,5,14,Punt
10:41,3,01:26,M-OH 20,3,9,Fumble
08:23,3,02:16,M-OH 25,3,9,Punt
03:29,3,01:58,M-OH 10,3,-5,Interception
11:21,4,04:29,M-OH 20,8,28,Punt
01:47,4,00:39,M-OH 25,6,30,Punt
