0521032820141011,,521,328
Oklahoma State Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,00:52,OKST 34,3,-1,Downs
14:08,1,00:08,OKST 33,0,0,Punt
12:28,1,02:52,OKST 22,7,52,Field Goal
05:10,1,01:22,KU 48,5,48,Touchdown
00:49,1,04:54,KU 43,11,36,Field Goal
08:19,2,01:23,OKST 28,3,-5,Punt
05:24,2,03:11,OKST 29,8,55,Missed FG
01:25,2,00:59,KU 30,5,30,Touchdown
13:35,3,03:03,OKST 22,8,33,Interception
08:27,3,00:49,OKST 3,3,2,Punt
05:54,3,00:11,OKST 25,1,0,Fumble
03:08,3,02:51,OKST 36,6,16,Punt
14:13,4,02:22,OKST 37,4,12,Punt
06:55,4,00:12,KU 0,0,0,Touchdown
04:59,4,02:55,OKST 27,5,19,Punt
00:53,4,00:53,KU 20,2,-20,End of Game
Kansas Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
14:00,1,01:32,KU 26,3,-1,Punt
09:36,1,04:26,KU 25,9,75,Touchdown
03:48,1,02:59,KU 10,5,0,Punt
10:55,2,02:36,KU 29,7,43,Downs
06:56,2,01:32,KU 33,3,4,Punt
02:13,2,00:48,KU 20,3,-10,Punt
00:26,2,00:26,KU 29,3,9,End of Half
15:00,3,01:25,KU 20,3,7,Punt
10:32,3,02:05,KU 37,4,17,Punt
07:38,3,01:44,KU 39,7,36,Missed FG
05:43,3,02:35,OKST 15,6,11,Field Goal
00:17,3,01:04,KU 17,4,83,Touchdown
11:51,4,04:56,KU 10,14,72,Field Goal
06:43,4,01:44,KU 23,3,-5,Punt
02:04,4,01:11,KU 20,7,27,Interception
