0522069820141004,,522,698
Oklahoma Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
10:09,1,01:31,OKLA 28,3,-2,Punt
05:52,1,01:56,OKLA 35,5,65,Touchdown
00:45,1,00:12,OKLA 25,1,75,Touchdown
14:28,2,01:58,OKLA 15,3,7,Punt
12:06,2,01:50,OKLA 25,3,7,Punt
09:07,2,03:34,OKLA 37,7,63,Touchdown
01:39,2,01:39,OKLA 25,10,60,End of Half
15:00,3,05:32,OKLA 20,11,80,Touchdown
06:48,3,01:19,OKLA 25,3,1,Punt
02:18,3,01:30,OKLA 20,5,12,Punt
14:51,4,00:39,OKLA 38,3,8,Interception
14:12,4,01:07,OKLA 31,3,-5,Punt
11:25,4,04:23,OKLA 13,7,31,Punt
06:55,4,00:48,TCU 21,2,-3,Interception
05:49,4,02:41,TCU 46,7,24,Downs
00:51,4,00:51,OKLA 29,6,25,End of Game
TCU Drive Summaries
START,QTR,POSS.,YARD,PLAYS,YARDS,RESULT
15:00,1,04:51,TCU 25,12,75,Touchdown
08:38,1,02:46,TCU 35,8,65,Touchdown
03:56,1,03:11,TCU 25,8,26,Punt
00:33,1,01:05,TCU 25,4,6,Punt
12:30,2,00:24,OKLA 46,2,46,Touchdown
10:16,2,01:09,TCU 24,5,26,Interception
05:33,2,03:54,TCU 30,12,56,Field Goal
09:28,3,02:40,TCU 27,10,73,Touchdown
05:29,3,03:11,TCU 39,8,46,Missed FG
00:48,3,00:57,TCU 24,3,5,Punt
13:05,4,01:40,TCU 31,3,7,Punt
07:02,4,00:07,TCU 20,1,0,Fumble
06:07,4,00:18,TCU 34,1,12,Fumble
03:08,4,02:17,TCU 22,3,8,Punt
